报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,1989-12-31,
基本每股收益(元),0.37,0.19,0.22,0.07,0.19,0.12,0.11,0.04,0.07,0.09,0.18,0.15,0.15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,2.36,2.25,2.22,2.15,2.12,1.81,1.59,1.69,1.62,1.57,1.23,1.95,1.86,2.38,2.39,2.14,2.2,2.6,2.55,0,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.28,0.91,0.63,-0.55,-0.49,0.25,0.59,0.63,-0.05,0.18,-0.16,0.18,0.12,0.13,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),183053,161133,122919,100996,103780,109236,106954,87795,80015,91961,78013,53643,62641,66336,41231,49497,41002,33605,22303,25686,30122,26546,14673,6234,9495,7590,14125,--,--,--,--,
主营业务利润(万元),23348,19733,12602,12031,18029,13308,12937,9093,11405,11832,9737,8898,7064,9510,6765,5967,7083,5471,2165,3946,5672,5941,-3275,-3644,-668,762,4341,--,--,--,--,
营业利润(万元),10389,6076,2192,1920,5290,2286,2171,-1234,2119,2345,2264,1794,1256,2543,-1690,-1440,750,-1970,-8221,-2595,-538,432,-2446,-3127,108,1218,3140,--,--,--,--,
投资收益(万元),499,36,32,--,--,18,203,50,53,--,--,132,494,-2,-155,1846,189,1552,-1114,1776,-215,100,5440,2998,1318,1871,757,--,--,--,--,
营业外收支净额(万元),413,-65,2033,255,-996,107,-11,5296,55,384,60,-187,534,752,-164,720,395,1227,0,3188,4135,--,0,0,575,0,--,--,--,--,--,
利润总额(万元),10801,6011,4224,2175,4294,2392,2160,4061,2174,2730,2324,1607,1790,3293,-2009,1126,1334,808,-9409,2368,3381,3317,4106,26,2009,5207,3874,--,--,--,--,
净利润(万元),5082,2632,3050,995,2673,1725,1503,517,928,1315,2461,2132,2017,3249,-2469,1068,613,591,-6389,1785,2555,2548,3284,7,1678,4591,3333,--,--,--,--,
净利润(扣除非经常性损益后)(万元),4416,2430,1123,865,3269,1644,1392,-1321,633,620,1919,1551,918,2614,-2457,-1562,-237,-370,-4107,33,1733,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),11996,12062,24898,7099,2947,-2501,2930,-8075,3880,12674,8706,-7662,-6762,3475,8212,8771,-688,2436,-2224,2446,1724,1685,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),3498,2746,16572,5124,711,-2917,-10302,5846,8554,-122,1199,1084,-2249,-5133,3764,2961,1551,-13220,1071,3897,7083,1705,--,--,--,--,--,--,--,--,--,
总资产(万元),251940,232049,195162,151397,156587,147400,134491,121904,109357,93852,107522,97446,79920,88443,93561,73771,72346,72718,82851,82855,73768,69033,58061,49404,51119,37869,29699,--,--,--,--,
流动资产(万元),212482,208381,174091,136583,140586,130992,118297,105363,76816,60600,70107,60319,44809,50178,58689,38205,35099,--,49444,--,0,38218,28527,22736,23140,16396,13777,--,--,--,--,
总负债(万元),193450,181353,147282,105836,111931,104944,92987,81166,74833,62113,76129,67248,50103,61537,69589,48619,48176,49288,63834,53835,45976,35193,28424,24713,26570,14081,10228,--,--,--,--,
流动负债(万元),191858,181281,146860,99045,111223,103323,92504,75532,66592,59357,75915,50971,49501,60530,69042,47970,48176,--,63577,--,0,34201,27717,24109,25955,13558,9714,--,--,--,--,
股东权益不含少数股东权益(万元),47389,43161,41226,38728,38409,36212,35042,33955,32678,31188,30762,29822,29471,25101,22114,23496,22496,21779,17017,27055,25764,31510,27420,24596,24041,23715,19398,--,--,--,--,
净资产收益率加权(%),11.12,6.24,7.63,2.58,7.17,4.84,4.37,1.56,2.89,4.26,8.12,7.17,7,13.69,-11.09,4.64,2.77,3.14,-27.04,6.69,0,0,0,0,--,0,--,0,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
