报告日期,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.53,0.25,0.49,0.21,0.32,0.38,0.36,0.41,0.32,--,
每股净资产(元),--,--,--,--,--,3.08,2.71,2.45,1.56,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.15,0.07,0.34,0.06,--,
主营业务收入(万元),100419,91641,72296,51313,41646,34643,33598,27520,16857,10911,
主营业务利润(万元),34678,30589,25921,20856,17545,15051,14249,12105,8092,4831,
营业利润(万元),7142,3160,5245,1373,2643,3236,2893,3307,2407,2180,
投资收益(万元),1658,-143,3445,477,78,--,--,--,2,--,
营业外收支净额(万元),-53,-3,-16,-14,558,534,565,263,131,42,
利润总额(万元),7089,3157,5229,1358,3201,3770,3458,3571,2538,2222,
净利润(万元),6061,2784,5416,2355,2707,3132,2999,3072,2396,1986,
净利润(扣除非经常性损益后)(万元),3534,2031,1450,1350,2235,2679,2518,2848,2282,1950,
经营活动产生的现金流量净额(万元),10287,4435,1459,2965,-833,1211,606,2833,470,1390,
现金及现金等价物净增加额(万元),5512,2992,15488,-10196,9520,1824,-2768,7307,1344,3225,
总资产(万元),122815,102621,79654,58456,59267,37101,30551,28031,15413,11000,
流动资产(万元),97246,91517,70422,42694,51697,30113,24730,23444,11683,8097,
总负债(万元),61595,51091,32597,15849,15514,10906,7662,7281,3348,3717,
流动负债(万元),60602,50882,32285,15041,14836,10630,7374,6924,3280,3717,
股东权益不含少数股东权益(万元),61083,51275,46962,40939,41224,25676,22565,20399,11727,6835,
净资产收益率加权(%),10.82,5.7,12.46,5.77,9.71,12.99,14.1,21.83,24.81,54.53,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
