报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),1.22,0.88,-0.4,0.04,-1.02,0.13,0.05,0.08,0.33,0.02,-0.25,0.01,0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,3.09,2.91,3.82,2.68,5.05,1.76,2.16,2.15,2.03,1.89,2.48,3.04,2.69,2.56,2.29,2.08,1.95,2.13,2.09,1.13,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.33,0.62,-0.06,0.11,0.16,0.25,0.31,0.75,0.68,0.26,0.3,-0.22,0.36,-0.16,--,--,--,--,--,--,
主营业务收入(万元),304378,294737,183434,132332,152447,206184,181958,161881,187564,135625,114920,123224,123179,105466,92385,97177,86246,71531,58265,54212,59324,34745,33249,34546,37189,38275,39668,22953,
主营业务利润(万元),102081,91370,24145,7685,1907,32834,20950,12628,40401,25827,13767,24234,35570,31517,25309,36344,32234,21370,19874,17670,18212,10736,1740,3690,4166,9938,10339,4530,
营业利润(万元),81012,56138,-25166,-4732,-55034,7048,968,3303,12430,910,-8758,-272,6926,1528,-1438,6800,5403,-14116,-928,68,4609,8233,4881,3944,4375,0,10062,4398,
投资收益(万元),2214,2213,1109,27911,3252,7642,11191,26835,1707,6451,12464,5740,1411,620,1272,-362,-83,-550,601,2107,211,-947,929,1860,903,543,214,139,
营业外收支净额(万元),-15311,-4790,28,1326,735,2527,3149,-473,2618,1148,212,--,--,14,431,-27,-772,-2224,-361,-202,-4,0,0,0,0,9,0,--,
利润总额(万元),65701,51348,-25138,-3406,-54299,9575,4117,2830,15049,2058,-8547,471,6485,2162,265,6410,4549,-16890,-456,3650,8352,8118,5653,5592,5015,10514,10119,4129,
净利润(万元),46691,33750,-15180,1381,-39043,4958,1905,2878,12485,814,-9615,502,5415,1564,232,3968,3321,-16888,210,5242,7523,6601,4856,4795,4282,8973,8612,1858,
净利润(扣除非经常性损益后)(万元),39298,33030,-15074,-18172,-40456,-833,-12040,-21255,9232,-5114,-19681,-3730,3741,1676,-2280,3790,3106,-8783,95,1735,2050,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),64497,93303,10684,17957,10842,29523,24836,-8305,12544,23703,-2198,4047,5997,9476,9340,21338,19195,7375,8385,-6095,8968,-3978,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-6715,32340,5811,372,-21281,-12049,-6079,58960,-14927,-7759,4077,7751,707,4274,1368,3492,6567,-8368,-2674,1045,7456,5824,--,--,--,--,--,--,
总资产(万元),393355,400308,407270,443275,504652,540274,469252,434356,360997,336357,357896,245773,349697,173290,168426,155813,146005,140900,159187,167826,136493,130751,67449,64584,61634,55574,49199,27635,
流动资产(万元),90197,100305,72682,65097,61093,94175,107127,123953,77798,67539,79424,67271,63351,54602,47800,43344,38466,0,--,--,55046,49237,27319,26895,24882,25974,25078,8534,
总负债(万元),243341,262182,301752,314298,346511,327970,289627,245780,222820,224679,211175,142621,156266,105350,101446,93436,84784,87267,88895,80942,67490,65152,13980,16087,20279,15277,9637,12456,
流动负债(万元),224783,247645,286141,294397,312146,282816,252174,205081,185859,137441,103122,105958,94749,89214,91006,84221,74402,0,--,--,45986,35735,13784,16086,18183,12883,7477,8076,
股东权益不含少数股东权益(万元),139537,85547,60315,73445,95769,135454,105492,118556,118071,110984,145975,102394,192683,67125,65120,60764,57322,53532,70156,85893,67960,64502,52395,47508,40234,39936,39214,14882,
净资产收益率加权(%),40.39,44.84,-22.41,1.58,-34.52,4.57,1.5,2.35,10.43,0.67,-7.6,0.36,4.2,2.37,0.37,6.75,6.02,-27.4,0.3,7.38,--,10.8,--,0,0,0,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
