报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),1.14,0.88,0.57,0.58,0.8,0.14,2.32,1.8,
每股净资产(元),--,--,--,4.87,4.55,3.92,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,0.68,0.33,0.22,1.42,1,
主营业务收入(万元),330662,231596,167966,131383,131426,172229,160712,126661,
主营业务利润(万元),147141,84403,61315,54148,62146,68686,54899,42150,
营业利润(万元),46354,20879,16505,13464,19042,5315,21452,11971,
投资收益(万元),--,2,--,--,--,173,13,--,
营业外收支净额(万元),-349,12219,-28,2519,1756,958,1234,875,
利润总额(万元),46005,33098,16477,15983,20797,6273,22687,12847,
净利润(万元),35431,26840,13379,13294,17136,2295,18556,10779,
净利润(扣除非经常性损益后)(万元),34663,14651,11329,11935,16026,17808,17812,10139,
经营活动产生的现金流量净额(万元),41913,-9777,-12120,15490,7529,4418,17007,5973,
现金及现金等价物净增加额(万元),15611,11088,-2839,5671,-3768,10353,1803,218,
总资产(万元),500772,353480,273294,235543,242911,213766,145698,126491,
流动资产(万元),323462,226064,156607,136272,152296,159847,105002,99892,
总负债(万元),237983,144120,85222,123732,138941,135422,99740,97996,
流动负债(万元),225735,138852,80801,117750,134778,131721,98893,96736,
股东权益不含少数股东权益(万元),239118,208505,187402,111130,103834,78321,45951,28471,
净资产收益率加权(%),15.91,13.57,10.87,12.54,19.46,4.89,49.82,29.65,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
