报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,
基本每股收益(元),0.61,1.61,1.56,0.71,0.71,0.67,0.53,0.59,0.55,0.54,0,0.21,0.45,--,0.17,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,2.69,3.45,2.86,2.81,2.58,2.09,2.78,3.83,1.56,1.91,1.25,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.11,0.32,0.15,0.01,0.08,0.03,-0.17,-0.24,0.25,-0.21,0,
主营业务收入(万元),956263,1102949,1156009,695889,558734,556559,433425,433301,362797,310909,195037,171501,148556,82297,55617,40851,28009,16557,10576,
主营业务利润(万元),316650,403684,465920,258799,206274,214924,152650,186797,139359,126061,72447,71769,62548,31780,21964,16312,11256,7160,4535,
营业利润(万元),66968,185465,186697,69115,61442,66390,46380,61810,57434,32261,-2354,9810,16180,6869,5091,3890,3135,2771,2097,
投资收益(万元),190,15208,-1702,2250,3923,4481,22284,13002,27886,6290,1076,1017,85,-17,-52,-0,0,0,0,
营业外收支净额(万元),2077,287,-8056,17610,22936,17085,15897,12804,14226,17972,6540,7832,5172,102,25,73,21,0,0,
利润总额(万元),69044,185752,178640,86725,84379,83475,62277,74614,71660,50234,4187,17642,21353,9690,6562,4957,3921,3491,2723,
净利润(万元),64222,171863,166504,75426,74695,70753,54879,61855,57851,37567,302,13534,16820,8875,6046,4641,3676,3282,2556,
净利润(扣除非经常性损益后)(万元),46228,145420,164134,71563,67053,64122,31447,47233,33640,26622,-9855,9933,15850,6065,4611,3585,0,0,0,
经营活动产生的现金流量净额(万元),212341,79656,197356,79630,53881,95832,66296,41581,11151,22139,10532,578,2878,777,-2675,-2602,2029,-1034,0,
现金及现金等价物净增加额(万元),-100622,159908,144388,-3639,-19665,10656,31575,-32614,15209,21381,-5549,6732,27160,3270,-6288,16444,-2014,3350,0,
总资产(万元),1789338,1894502,1410297,1036948,758242,719614,663773,653343,606723,544124,442791,347530,232892,117527,74017,58617,23223,20280,9881,
流动资产(万元),1109796,1274893,889352,556696,459560,465613,410668,386966,350655,295400,246102,227816,171324,90199,59331,47628,20743,19263,9523,
总负债(万元),881524,1034885,681925,482123,267049,287617,274939,283317,286649,270445,217890,117893,122893,60655,27136,17190,10204,10664,3633,
流动负债(万元),634663,795709,616299,440063,225550,266037,245701,262456,277040,265579,211405,115640,121797,56806,26333,16490,9804,10364,3533,
股东权益不含少数股东权益(万元),883029,832768,698145,530636,474011,412464,357898,338039,280688,239973,199043,195381,97981,50204,44628,40946,12456,9531,6248,
净资产收益率加权(%),7.53,21.33,27.6,15.05,16.99,18.47,15.53,20.02,22.23,17.14,0.15,9.8,22.77,18.85,14.17,17.38,32.33,41.61,51.42,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
