报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.06,0.06,0.03,0.06,0.04,0.27,0.56,1.02,1.47,1.02,0.76,0.44,
每股净资产(元),--,--,--,--,--,2.8,3.89,6.85,4.42,2.95,1.94,1.17,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.36,-1.55,-4.12,0.95,0.59,0.66,0.41,
主营业务收入(万元),143020,172746,134862,18148,22619,60936,82878,47883,23555,18384,13172,10094,
主营业务利润(万元),36201,43621,31875,4847,7980,19429,21168,13076,9331,7151,5295,3348,
营业利润(万元),1048,2384,1189,-4159,-1532,7162,11768,8946,6230,4383,3668,1891,
投资收益(万元),143,109,158,5,4,2,8,5,1,--,--,--,
营业外收支净额(万元),517,904,601,6314,2242,1880,1325,1757,1117,702,236,56,
利润总额(万元),1565,3288,1790,2155,710,9042,13093,10703,7347,5084,3903,1947,
净利润(万元),1540,1616,719,1543,1086,7388,10137,8817,6602,4577,3422,1970,
净利润(扣除非经常性损益后)(万元),-569,539,668,-4181,207,6120,9468,8112,6330,4544,3216,1895,
经营活动产生的现金流量净额(万元),-2295,27755,-8400,28861,4281,9836,-27833,-37086,4269,2637,2987,1851,
现金及现金等价物净增加额(万元),238,8359,-23211,39153,-7797,-12268,-1819,14893,3191,2416,2958,-142,
总资产(万元),233990,237256,250950,119444,180058,216139,169853,105961,37705,26408,18729,11090,
流动资产(万元),139275,144282,156554,98177,130402,112301,118404,94576,29921,18691,15327,8762,
总负债(万元),138278,142756,161037,53121,112714,140478,99782,44218,17815,13122,10020,5804,
流动负债(万元),80839,121312,139818,50995,110868,138614,98771,42918,17515,12762,10020,5804,
股东权益不含少数股东权益(万元),78594,77620,73654,66283,67344,75619,70031,61694,19890,13286,8709,5287,
净资产收益率加权(%),1.97,2.17,1.08,2.32,1.54,10.14,15.43,17.87,39.8,41.62,48.9,45.8,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
