报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),0.08,0.06,0.06,0.06,0.1,0.11,0.1,0.08,0.07,0.06,0.04,0.07,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,1.64,1.57,1.52,1.47,1.44,1.39,1.82,1.74,1.68,1.62,1.64,1.92,2.44,2.95,2.8,3.01,2.72,3.25,3.01,2.49,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.4,0.23,0.05,0.14,0.22,0.09,0.18,0.1,-0.03,0.14,-0.04,-0.05,-0.23,-0.38,--,--,--,--,--,--,
主营业务收入(万元),139990,100822,73573,67124,71765,100790,95165,86724,73106,59860,56528,56886,50090,38877,35539,32547,27589,26074,30213,25252,22363,21690,23582,20207,15110,14183,12488,--,
主营业务利润(万元),56603,53648,30678,22541,20798,21061,18893,27310,26030,16867,19141,19867,17650,13482,13885,14607,12634,7953,6801,6913,5534,5214,1618,1857,639,868,1869,--,
营业利润(万元),5458,6304,5307,4549,5379,4140,3889,5907,5296,1980,1914,3059,4022,1670,2872,2535,1063,-334,202,1038,38,625,2016,3182,2195,0,2513,--,
投资收益(万元),-229,-67,-112,587,169,-42,-197,2160,-134,359,-126,-920,403,-554,136,-282,7,65,-263,1048,1526,964,1532,107,746,1817,0,--,
营业外收支净额(万元),2950,219,1421,3238,2157,1236,1058,-1269,-1480,1090,1244,910,361,950,-96,-62,-146,389,30,483,-4,0,0,0,0,9,0,--,
利润总额(万元),8408,6522,6728,7787,7535,5376,4947,4638,3816,3070,3159,3969,4383,2558,3207,2300,989,126,107,2714,1752,1582,3501,3272,3026,3023,2496,--,
净利润(万元),5551,4279,4248,3815,5225,4052,3371,2807,2386,2044,1416,2260,2032,1625,1952,1661,1087,623,317,2842,1884,1511,3410,3057,2708,2681,2079,--,
净利润(扣除非经常性损益后)(万元),1174,2312,2273,777,3577,2983,2694,1265,3927,1379,388,1738,1336,242,1411,1479,687,228,149,2214,1697,--,--,--,--,--,0,--,
经营活动产生的现金流量净额(万元),1865,12647,9649,-2602,6970,3577,-13336,22236,13694,8014,1712,4956,7553,3028,4780,2633,-909,3621,-1071,-1213,-4736,-6482,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-6071,8766,-11345,17456,-2943,-10608,-7396,-3114,3727,13643,10853,197,5469,631,-746,6176,-4878,-2026,-3346,4244,1532,3,--,--,--,--,--,--,
总资产(万元),216738,260401,239743,230499,183714,165424,154108,131565,152403,143356,121272,108187,107438,101824,106036,104251,106294,100266,106849,95322,84908,78931,62898,47261,38136,25708,23683,15477,
流动资产(万元),125631,165513,142353,131836,76893,77865,86067,70169,108766,100200,83408,68135,66166,58176,59189,61588,64312,--,0,68111,0,52420,43193,31318,25441,16076,17717,12059,
总负债(万元),90540,137851,120588,114564,70754,56793,88746,67970,88652,81112,65170,53491,54398,50819,53690,54690,60590,56555,62604,42173,34654,28895,15520,17052,10550,6137,5269,4251,
流动负债(万元),75884,120893,99048,89730,41853,33220,75571,62990,80026,70877,60888,52416,53681,49820,53444,51323,57322,--,0,38809,0,21694,12686,15986,9159,5471,3559,2972,
股东权益不含少数股东权益(万元),118303,114743,111861,109096,106411,102570,59446,57910,56658,54282,52298,50880,49589,48008,48075,45868,44246,42675,43284,50630,49493,49834,47266,29929,27030,19150,17654,10798,
净资产收益率加权(%),4.78,3.72,3.84,3.54,5,5.25,5.73,4.87,4.21,3.83,2.75,4.49,4.17,3.38,0,3.69,2.51,0,0.73,5.68,3.86,3.11,--,0,0,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
