报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),-1.27,-3.31,0.63,0.36,0.3,0.08,1.49,1.59,1.7,1.08,0.47,0.11,
每股净资产(元),--,--,--,--,--,5.84,11.94,10.85,4.31,2.61,2.44,1.39,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,-2.32,1.86,-1.47,1.19,0.79,-0.89,0.7,
主营业务收入(万元),351375,359947,276757,233094,96458,83262,49828,42515,44619,33907,21436,16889,
主营业务利润(万元),36717,57069,64965,48992,14102,8647,8321,8105,6563,4939,2754,1006,
营业利润(万元),-146241,-187450,44778,26898,3695,1477,4942,6079,5153,3721,1632,475,
投资收益(万元),340,202,--,1411,133,0,5,--,--,1,11,--,
营业外收支净额(万元),438,1681,2119,1664,730,195,2002,200,701,7,-17,-10,
利润总额(万元),-145803,-185768,46896,28562,4424,1672,6944,6280,5854,3729,1615,465,
净利润(万元),-147398,-195379,37152,20140,3081,638,5948,5442,5090,3253,1409,342,
净利润(扣除非经常性损益后)(万元),-148344,-196783,34929,17799,2826,464,4250,5272,4494,3246,1418,351,
经营活动产生的现金流量净额(万元),11331,-4481,46275,-4903,4978,-18571,7432,-5865,3585,2365,-886,699,
现金及现金等价物净增加额(万元),12637,-23284,7300,19264,4174,-3034,-10211,12442,2643,2734,20,124,
总资产(万元),328665,405165,606910,505581,247734,91329,69339,51925,22428,18645,6307,4235,
流动资产(万元),241190,253689,250949,210839,76581,37334,37134,45081,17319,17923,5751,3709,
总负债(万元),233919,176234,164167,103029,77839,37103,19083,8525,9511,10817,3868,2845,
流动负债(万元),167888,175282,163070,101493,72590,30817,15540,6475,7461,10817,3868,2845,
股东权益不含少数股东权益(万元),85285,229519,433861,402536,167318,46746,47748,43400,12917,7828,2439,1390,
净资产收益率加权(%),-94.25,-58.86,8.88,5.93,2.88,1.35,12.83,20.87,49.07,58.54,69.25,47.1,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
