报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,
基本每股收益(元),0.04,-0.24,0.1,--,0.01,0.05,-0.01,0.02,0.04,0.14,0.03,-0.13,-0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,0.9,0.86,0.76,0.73,0.86,1.03,1.01,1.14,1.19,1.16,1.14,1.06,0.8,0.83,1.83,1.65,2.82,3.31,4.57,2.49,2.09,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.23,-0.14,0.55,0.02,-0.08,-0.11,0.13,0.01,0.12,-0.51,0.06,0.52,0.63,0.11,--,--,--,--,0,--,--,
主营业务收入(万元),10825,36687,13861,--,12045,8061,7278,9736,7450,13133,6008,4331,4045,4564,6138,10675,11953,12123,6198,13101,12565,12073,33861,33309,64361,20513,21173,9481,4987,
主营业务利润(万元),7727,29346,8270,--,3604,2641,3579,3960,3605,4706,2931,1956,1517,2027,2364,3666,5048,5548,3347,4530,3563,1911,-1309,-10669,2908,141,1424,615,362,
营业利润(万元),730,-2386,880,--,1014,381,1149,1400,1239,2472,846,-1035,-962,581,-2445,-444,756,906,480,595,326,-4702,1052,-10855,3098,581,3139,1130,411,
投资收益(万元),2978,354,1385,--,82,-26,120,243,-21,-10,-22,-16,-26,-38,257,-308,-284,-301,-173,2038,545,-3041,4425,3143,272,2963,1173,1088,125,
营业外收支净额(万元),-124,-224,92,--,67,1686,-28,-330,-0,-8,-128,-1,64,93,-50,57,-24,-10,990,-277,-40,0,0,0,0,0,174,--,--,
利润总额(万元),606,-2610,972,--,1081,2067,1120,1071,1239,2464,718,-1036,-898,640,-2040,-402,877,859,1297,2357,830,-8265,1385,-9047,2333,3124,5356,2370,805,
净利润(万元),310,-2027,857,--,125,380,-103,201,299,1162,247,-1112,-927,62,-1358,-406,386,558,1110,2201,654,-7952,1573,-9867,-1118,2924,4076,2349,804,
净利润(扣除非经常性损益后)(万元),-2673,-2301,-301,--,87,-165,-205,242,298,796,-106,-1111,-1016,-403,-1877,-440,387,568,120,456,654,--,--,--,--,--,0,--,--,
经营活动产生的现金流量净额(万元),-1587,-5331,1444,--,926,-553,-2104,1756,1937,-1174,4660,143,-695,-897,1106,41,996,-4280,522,4401,5299,929,--,--,--,--,0,--,--,
现金及现金等价物净增加额(万元),9869,-5109,428,--,1158,-1653,24,-90,1204,-3464,4705,-2907,633,-1341,1039,-1959,1522,-2304,212,2317,-841,-1018,--,--,--,--,0,--,--,
总资产(万元),149449,35118,26884,22372,39867,33828,24215,19291,19631,18422,23051,16781,16982,20430,15587,21427,23788,26361,22201,50821,33350,39690,60512,65847,131268,89148,77189,32244,13408,
流动资产(万元),48098,30157,14543,13423,32653,26407,17426,13308,10974,9950,16162,9468,12128,14980,11929,15273,17052,--,--,0,0,15771,23114,19971,58767,34347,33264,11880,3998,
总负债(万元),9003,16785,8475,4552,23538,18090,9765,4486,5790,5500,14070,8253,7204,9202,5593,9164,10946,13959,10228,38730,22798,28843,40391,46678,92114,58623,48789,23742,8057,
流动负债(万元),8556,16705,7029,3670,20458,15010,7485,4406,5710,5420,13010,7193,6144,9122,5513,8114,9946,--,--,0,0,28692,37018,40652,67184,54010,40169,13711,3444,
股东权益不含少数股东权益(万元),138978,10924,12939,12082,8152,8028,7642,7745,7533,7255,6365,6118,7231,8615,8455,9551,10026,9751,9584,8894,6682,6992,15379,13846,23713,25256,23280,7271,5090,
净资产收益率加权(%),2.8,-17,6.85,--,1.54,4.85,-1.34,1.44,4.04,17.07,3.96,-16.66,-12.05,0.73,-15.3,-4.14,3.79,5.66,11.74,28.24,0,-72.65,--,0,0,0,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
