报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.23,0.21,0.09,-0.14,0.16,0.57,0.77,0.74,0.69,--,--,
每股净资产(元),--,--,--,--,--,6.06,3.71,3.15,2.61,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.56,0.48,0.37,0.58,--,--,
主营业务收入(万元),64680,54714,51357,41006,30325,22003,20471,15522,13145,10601,6361,
主营业务利润(万元),23663,19659,17651,13794,12701,10167,10192,8577,7886,6869,4461,
营业利润(万元),5973,2861,799,-2149,1558,3022,4411,4216,4491,4017,1878,
投资收益(万元),-1,285,2,-136,51,-5,--,--,--,1,0,
营业外收支净额(万元),-2506,-92,44,5,567,1078,664,936,244,70,13,
利润总额(万元),3467,2768,843,-2144,2124,4100,5075,5151,4734,4088,1891,
净利润(万元),3109,2922,1266,-1949,2139,3861,4650,4457,4131,3536,1596,
净利润(扣除非经常性损益后)(万元),4836,2653,885,-1958,1657,3633,4576,4014,3912,3458,1499,
经营活动产生的现金流量净额(万元),4341,3793,1344,-961,2663,3825,2862,2225,3473,974,1451,
现金及现金等价物净增加额(万元),-1550,4770,-3485,-1868,552,16675,1196,532,8245,-1147,1460,
总资产(万元),64434,66075,60338,60484,53617,48889,26216,22100,18027,9645,8026,
流动资产(万元),53594,55093,48671,50120,46314,42944,24215,20119,16135,7599,5897,
总负债(万元),16517,20118,16981,18359,8900,6528,3975,3189,2373,1514,3226,
流动负债(万元),14947,20118,16981,18359,8900,6528,3969,3113,2317,1514,3226,
股东权益不含少数股东权益(万元),44800,43041,40394,39116,42440,41675,22241,18911,15654,8131,4524,
净资产收益率加权(%),7.08,7,3.19,-4.78,5.1,9.92,22.97,26.09,31.06,56.04,42.84,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
