报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),0.7,0.91,0.86,-0.28,0.08,-0.51,0.01,0.09,0.2,0.12,-0.33,0.01,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,2.45,2.36,2.17,1.99,2.32,2.51,2.33,2.51,2.51,2.46,2.42,2.41,2.62,2.83,2.88,2.89,2.99,2.81,2.81,2.9,2.75,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.61,0.54,0.31,0.53,0.32,0.46,0.4,0.18,0.32,0.4,0.2,0.37,0.23,0.1,--,--,--,--,--,--,
主营业务收入(万元),646377,717064,722675,675440,617087,701541,697421,634088,576253,573650,491015,566823,509882,373577,412029,497826,390556,316099,272832,294237,222460,202107,224647,224289,237333,177853,139655,--,
主营业务利润(万元),111276,125565,112331,59696,59224,62164,60517,61659,80490,78167,25970,49553,55569,25880,39010,65570,59267,41646,34418,48639,35104,23482,15175,51959,25324,18831,18944,--,
营业利润(万元),85445,113779,100384,-35982,-10971,-59638,-8858,9462,8264,1076,-38692,-2106,2383,-19227,-65,10499,5523,770,-4768,6190,834,-872,16622,23248,25962,0,19414,--,
投资收益(万元),23012,37385,32809,13119,14713,6263,14413,10836,1250,6118,5452,16077,6190,1136,532,-2809,-1216,-1113,8027,-20,685,-9,3672,4298,273,0,1559,--,
营业外收支净额(万元),-21,81,65,2501,21928,1342,11989,2033,14449,9389,209,3917,3568,-2141,66,-2946,-1392,0,-924,581,263,0,0,0,0,-2433,0,--,
利润总额(万元),85424,113860,100449,-33481,10956,-58297,3131,11495,22714,10465,-38483,1811,5950,-19157,979,5225,3468,943,2645,7439,4455,815,20677,27581,27348,23793,19441,--,
净利润(万元),81093,105306,99260,-32809,9562,-59250,1662,10254,22977,14137,-38648,1071,5580,-19626,411,5378,2503,635,513,5067,3576,689,17532,23446,22855,20069,19204,--,
净利润(扣除非经常性损益后)(万元),82793,104508,99705,-7274,-3142,-26218,-13987,6521,18925,14416,-37829,-16377,-5427,-33254,-5239,7262,0,-645,-10486,4380,238,--,--,--,--,--,0,--,
经营活动产生的现金流量净额(万元),86772,88970,100381,48886,30585,-2906,58003,64431,71005,62226,35388,61442,36841,53651,46087,20620,37255,46791,23789,42633,24580,10717,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),66558,76942,3341,19363,-16217,-17075,-65,6002,-756,11564,-38483,25446,-36882,16722,12780,-27936,-13585,12643,33012,15009,-6873,-11552,--,--,--,--,--,--,
总资产(万元),573404,506053,454939,448962,484785,575472,599258,634013,600793,561372,572144,671912,675083,504626,505471,518104,492041,477630,461009,490246,500322,531475,530755,485159,459427,466992,427099,403095,
流动资产(万元),277694,194624,133141,129538,136059,175893,179348,181876,174874,157765,110948,179178,164890,138070,145350,175067,189276,0,0,--,0,208431,226248,205516,177792,162846,123186,123694,
总负债(万元),107946,114999,163390,254833,257788,349846,305097,343144,325982,309809,336530,398034,379216,228901,207206,220105,198795,188358,176938,181593,199090,225457,223847,196834,188297,195239,185958,174534,
流动负债(万元),94661,102124,142541,216348,171264,234455,200224,229048,213474,202222,328058,226268,207755,198007,181031,172441,143249,0,0,--,0,183095,147254,137647,115615,111847,68059,70626,
股东权益不含少数股东权益(万元),465436,391521,291843,194172,226155,216466,284820,282846,272620,250521,230502,268752,289859,269081,292534,291946,286212,282036,280302,305126,300047,304837,305678,288127,270440,271753,241141,228561,
净资产收益率加权(%),18.97,30.64,40.85,-15.61,4.31,-24.45,0.59,3.69,8.78,5.95,-15.48,0.37,1.99,-6.99,0.14,1.86,0.88,0.23,0.18,1.67,0,0.23,--,--,0,0,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
