报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),0.24,0.99,0.8,0.4,1.62,0.85,0.45,0.39,0.37,0.29,0.23,0.23,0.27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,7.06,7.98,8.49,3.87,3.81,3.62,3.5,3.43,3.32,3.11,4.65,3.53,3.12,3.92,4.44,3.36,2.47,1.7,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.09,0.19,0.27,0.27,0.23,0.41,0.35,0.39,0.25,0.2,0.72,0.24,0.52,0.6,--,--,--,--,--,--,
主营业务收入(万元),867991,885342,827054,547477,430230,365899,404792,375589,300218,284051,213192,249141,218408,154382,124137,100074,86040,89481,73046,80705,78238,76341,100188,55578,28034,17863,14904,6231,
主营业务利润(万元),179483,189953,204063,133137,91646,85692,85201,83726,71757,67154,43386,48672,41605,27767,27344,24956,21418,21519,23966,31035,32015,31312,9839,6075,5032,4209,3363,763,
营业利润(万元),37260,153680,123576,44221,78335,36923,16713,15696,18033,14015,9239,6627,12636,7446,10536,9421,8588,10400,7894,12821,8088,8728,10144,6180,5083,4210,3369,776,
投资收益(万元),21678,109145,69180,21074,75729,41354,16643,14978,18403,5663,8620,4842,5978,1721,-1196,1072,457,249,480,-1564,86,1689,993,701,37,213,2,0,
营业外收支净额(万元),-1943,-276,947,3320,1703,-174,2132,2114,1520,1790,3489,9736,--,1844,1369,-260,-227,-54,339,-244,-189,0,0,0,0,--,--,--,
利润总额(万元),35317,153404,124523,47541,80039,36749,18844,17810,19552,15805,12728,16364,19594,12389,11933,11546,10623,11540,10563,12626,9627,11421,11425,6713,5011,4320,3299,721,
净利润(万元),26981,111528,89612,33016,66481,34842,18379,15885,15340,12073,9516,9603,11270,9080,7514,9024,8614,8543,8239,11994,8749,8715,7524,5732,4165,2909,2803,405,
净利润(扣除非经常性损益后)(万元),16101,30314,44126,25644,20966,12881,14525,8064,8756,9465,3892,3177,3981,4894,6261,8591,8374,8454,6650,7657,7081,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),88644,54042,-38138,-57795,-25797,-40324,-12669,6457,3598,7673,10896,11229,9422,16902,14197,16020,10214,8285,19621,5681,12242,8729,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-6590,101860,-115394,163012,-28691,13020,-4933,-6799,20331,-8171,14803,-8162,34983,-17,6419,-301,-4180,-29411,55648,-5399,2030,8736,--,--,--,--,--,--,
总资产(万元),2501583,2344882,2207319,1458642,1019798,916572,745005,762391,663165,685752,646817,378478,391965,331806,302091,267546,224128,213665,167083,122918,130703,129590,115112,62576,39484,25807,13528,6776,
流动资产(万元),984503,1037625,924451,714826,434944,385091,322122,322823,279764,245139,221239,209730,195804,173340,140423,123370,106939,--,0,--,0,82151,74935,45114,30665,19641,10665,4712,
总负债(万元),1139538,1092655,1094346,594230,509878,475561,393070,404359,333564,322635,262835,174416,197513,151507,137459,106597,69655,70745,34459,34162,51700,68419,65457,33918,30172,19408,8530,4956,
流动负债(万元),857937,895620,687857,399634,283567,269200,288738,292323,232828,206097,196370,168484,191239,151007,137459,99317,59375,--,0,--,0,56769,61123,28251,26780,16045,7580,4756,
股东权益不含少数股东权益(万元),1182258,1070720,1043323,814242,479883,424319,321695,323784,289936,327870,348845,158907,156386,148836,143954,140903,136309,127681,127400,84046,74304,56792,45946,28637,9313,6400,4998,1820,
净资产收益率加权(%),2.4,10.55,9.66,4.17,14.71,9.34,5.16,5.18,4.96,3.57,3.49,6.05,7.43,6.22,5.28,6.55,6.33,6.92,9.13,14.94,0,16.97,--,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
