报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),0.7,0.75,1.16,1.03,0.84,0.77,0.66,0.52,0.39,0.27,0.22,0.07,0.07,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,3.1,2.71,2.44,2.22,2.16,2.32,2.31,2.42,2.13,2.23,1.91,2.37,2.95,1.04,1.39,1,1,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,1.33,1.35,1.48,0.71,0.67,0.54,0.73,0.85,0.37,0.37,-0.42,-0.11,0.11,--,--,--,--,
主营业务收入(万元),339617,303702,237638,204444,75773,66149,58201,49375,40619,30833,25246,19789,15766,13989,10029,33251,10322,15999,11138,28812,40943,37736,29978,21409,12706,
主营业务利润(万元),183165,157308,116913,93384,30413,23012,19257,15040,13275,8894,7371,3753,3323,3140,1529,9300,4025,7606,1934,3527,9294,9788,7634,4198,1787,
营业利润(万元),207792,169261,121230,88954,25861,20359,17079,13485,11412,7250,5972,2130,271,178,-1304,5332,1481,5883,213,-3200,4460,5212,2610,1721,595,
投资收益(万元),1266,4146,292,8077,-79,--,--,--,-72,--,--,--,--,86,14,790,180,-33,-20,156,-49,-45,2,11,0,
营业外收支净额(万元),1663,1324,593,3407,-2538,1297,1322,1275,-429,286,155,-69,--,-370,-39,-42,173,153,26,171,179,--,--,--,--,
利润总额(万元),209455,170585,121823,92361,23324,21656,18401,14760,10984,7536,6127,2061,2341,407,-1280,6081,1834,6088,220,-2874,5231,5257,2624,1770,591,
净利润(万元),159154,131679,92212,69892,17660,16279,13868,11014,8220,5649,4607,1487,1542,133,-1317,5627,1751,6073,220,-3442,3541,3291,1446,1084,237,
净利润(扣除非经常性损益后)(万元),153827,113262,88470,45191,19536,15312,12877,10058,8572,5436,4491,1539,158,7,-1317,5059,1118,5835,-458,-3768,2769,--,--,--,--,
经营活动产生的现金流量净额(万元),143842,113282,112274,102583,45896,38690,54644,43460,28071,28521,31198,15097,14208,10189,13795,16140,7022,7057,-7891,-2000,2062,--,--,--,--,
现金及现金等价物净增加额(万元),84936,-124190,414879,25585,-64399,22248,40013,-3561,9381,18808,23749,8397,6359,3280,-4989,1532,2073,4093,-6456,-2751,12056,--,--,--,--,
总资产(万元),1210157,1100245,1113633,648865,323025,289310,271103,224753,182590,152241,126982,99997,87435,79217,79313,86702,85614,66833,59003,70465,81762,50545,43866,23059,10380,
流动资产(万元),668949,557927,651005,264728,164891,141134,124347,82783,86336,70581,51233,29168,21065,17481,18141,26600,27602,23043,0,0,0,27630,20807,12315,5440,
总负债(万元),428956,480977,397716,397861,206283,190229,184082,148221,117072,94944,75241,52862,41597,34902,35165,40562,45171,24379,22674,23691,24055,28889,25545,11217,6705,
流动负债(万元),247394,272542,158896,159718,101839,86546,184082,148221,117072,94944,75241,52861,41096,34902,35165,40562,38171,15334,0,0,0,21826,16875,8783,6605,
股东权益不含少数股东权益(万元),756215,610656,710531,248082,116551,98891,86832,76344,65330,57110,51497,46890,45591,44071,43897,46064,40385,42402,36329,44948,56106,19912,16620,10402,2653,
净资产收益率加权(%),23.67,17.48,17.84,32.74,16.39,17.14,16.94,15.55,13.43,10.4,9.37,3.22,3.44,0.3,-2.96,13.02,4.43,15.42,0.61,-7.33,0,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
