报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,
基本每股收益(元),0.6,0.54,0.5,0.37,0.71,0.76,0.68,0.5,0.45,0.24,0.13,-0.38,0.57,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,6.72,10.24,5.77,6.84,10.38,5.95,5.23,5.21,5.1,4.79,4.59,4.37,4.09,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.32,-0.28,-0.02,-3.09,0.32,-1.48,2.16,-1.97,1.47,0.67,1.61,-0.62,-1.09,1.07,--,--,
主营业务收入(万元),1466529,1020948,674959,620902,631778,529872,451391,308058,354721,354645,266647,284708,283514,197193,182474,166744,161159,154612,145951,154687,135409,90226,63634,49666,
主营业务利润(万元),251295,177133,130881,92255,84049,71002,68096,42965,52317,36484,10277,12445,35886,24889,22032,15245,19784,16718,18983,20572,26554,21669,17535,14077,
营业利润(万元),180058,109624,83937,62706,50326,56135,46442,26175,27025,16304,6855,-13366,23785,9039,8452,5833,9334,9052,10532,10580,11979,8889,7999,7229,
投资收益(万元),8156,-205,8774,11016,99,15162,1437,4599,1573,3151,19212,7846,4387,5261,3288,1478,-1985,109,282,3,-680,558,771,686,
营业外收支净额(万元),-0,-1009,-71,1768,1787,268,490,4161,1078,-114,1403,1607,--,-737,-3521,-1642,178,43,1229,1328,1106,-44,0,0,
利润总额(万元),180058,108614,83866,64474,52113,56403,46932,30336,28103,16189,8258,-11759,20972,13563,8219,5669,7526,9204,12043,11911,12406,9403,8917,7976,
净利润(万元),123619,78158,60162,44652,39273,42148,37843,25014,20322,11077,5771,-11479,17329,11191,6861,4319,5367,6867,9325,9710,10414,8068,7568,6954,
净利润(扣除非经常性损益后)(万元),118210,78524,52345,31104,37807,31082,37301,19468,19503,10023,-4326,-18065,19226,12274,10333,4383,5063,6830,7967,9710,10143,--,--,--,
经营活动产生的现金流量净额(万元),29242,-49277,-157425,-73108,-219314,35122,55274,65072,14461,-12709,-874,-94013,9853,-44893,50683,-44003,32919,14925,35993,-13749,-24249,17726,--,--,
现金及现金等价物净增加额(万元),-6192,206514,-114328,-63866,208348,29185,70346,55174,-31835,50042,-24952,-48080,29262,51609,-7550,-9600,4369,650,8009,5831,6997,8664,--,--,
总资产(万元),4031337,3174115,2579268,1929063,1655382,1102729,979152,857828,750025,1016024,588977,539152,676364,396266,307990,271287,251061,274481,311150,300768,251422,146416,134769,130017,
流动资产(万元),3534933,2790379,2188357,1561815,1357507,844379,719062,602461,483955,530076,385465,416614,429067,317322,192350,209594,199833,0,0,0,0,100982,88960,87464,
总负债(万元),3065284,2300333,1920394,1295500,1035569,733060,642047,535698,443042,548331,325317,330805,360313,215280,185299,155056,137013,166972,207148,201299,158282,102395,94305,97308,
流动负债(万元),2290912,1646695,1257216,913878,875510,625999,521021,451418,399404,429023,262449,286537,322490,182780,185299,155056,137013,0,0,0,0,92132,91174,97127,
股东权益不含少数股东权益(万元),959092,869604,654077,628987,616133,368668,336106,322130,306982,467693,263660,208347,316051,180986,122691,116231,113788,106925,102443,97583,91221,43200,40255,32500,
净资产收益率加权(%),13.42,11.73,9.35,7.27,9.92,11.87,10.76,7.88,5.24,3.5,2.45,-4.4,6.02,8.82,5.74,0,4.73,6.48,9.12,10.28,16.72,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
