报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
基本每股收益(元),0,-0.57,0.11,0.16,0.33,0.58,1.17,1.04,0.94,0.81,--,0.14,0.14,0.05,
每股净资产(元),--,--,--,--,--,4.49,5.59,4.45,3.41,2.46,--,1.28,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,-0.36,-0.47,0.34,0.48,0.35,--,-0.09,-0.23,-0.43,
主营业务收入(万元),128678,137105,176637,93465,54765,42839,33779,25980,20552,15735,11248,7584,4330,4040,
主营业务利润(万元),34689,31948,49804,31648,21790,18231,15309,12827,10041,7872,5674,3430,1643,1111,
营业利润(万元),320,-56421,19182,11261,8780,6376,5851,4871,4360,3609,2102,483,492,-8,
投资收益(万元),44,-1528,355,-342,512,--,--,--,--,0,--,--,-46,--,
营业外收支净额(万元),-303,235,-10,946,605,239,234,430,435,456,345,154,145,151,
利润总额(万元),16,-56185,19172,12207,9385,6615,6085,5301,4795,4065,2447,636,637,143,
净利润(万元),402,-55093,10625,8632,8016,5575,5104,4524,4090,3535,2146,612,614,120,
净利润(扣除非经常性损益后)(万元),-3450,-59218,9798,8258,7797,5427,5127,4366,3943,3432,--,512,608,121,
经营活动产生的现金流量净额(万元),34869,-22595,-43002,-7148,-160,-3455,-2072,1469,2110,1538,-256,-404,-983,-940,
现金及现金等价物净增加额(万元),-7423,-11165,-32184,50568,-3060,5998,-4035,5313,4705,1756,8,-419,-39,-202,
总资产(万元),365178,428981,424772,285351,154211,89767,58547,45036,31894,20220,--,9429,7300,7170,
流动资产(万元),204946,268297,241598,185558,90888,69941,55770,42811,30025,18960,--,8657,6625,6400,
总负债(万元),263914,326879,266899,151907,71413,45598,33760,25196,16670,9209,--,3546,1992,3208,
流动负债(万元),234444,222073,171632,114532,68241,45540,33760,25196,16670,9209,--,3546,1992,3208,
股东权益不含少数股东权益(万元),86910,84645,140194,127243,81533,43650,24384,19416,14892,10728,--,5569,5000,3167,
净资产收益率加权(%),0.46,-49.48,8.08,8.84,16.23,13.89,23.23,26.37,31.84,39.45,--,11.63,12.28,3.77,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
