报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
基本每股收益(元),0.12,0.09,0.09,0.09,0.08,0.08,0.28,0.35,0.47,0.5,0.42,0.39,0.36,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,3.99,5.37,4.95,4.61,4.3,4.09,3.97,3.92,5.07,4.79,2.19,1.94,1.79,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.01,0.14,0.54,0.73,-0.12,0.03,0.5,0.1,0.13,0.06,0.14,0,0,
主营业务收入(万元),66010,55994,53814,46509,53623,57197,103012,127538,114872,69902,67061,55978,52108,41527,32180,20576,26076,17491,15099,12480,10610,
主营业务利润(万元),14837,14080,13003,13773,13029,13333,16511,19365,19998,13748,11147,11234,9102,6135,4050,2850,3825,3728,3713,3372,2878,
营业利润(万元),3111,2577,2305,1684,1127,1714,5703,9835,7819,5421,4561,4437,3277,2619,1620,1298,2385,2275,2186,1724,1657,
投资收益(万元),316,309,177,409,630,762,327,93,25,22,8,-8,6,0,0,0,0,0,0,0,0,
营业外收支净额(万元),-145,119,143,611,1228,677,1875,-169,652,581,497,--,--,9,-6,18,3,-6,0,0,0,
利润总额(万元),2966,2696,2448,2295,2355,2391,7578,9666,8471,6001,5058,4882,4094,2934,1956,1508,2491,2330,2113,1692,1545,
净利润(万元),2785,2101,2021,1985,1820,1759,6254,7890,7079,4987,4165,3921,3543,2417,1543,1224,2154,2330,2113,1692,1545,
净利润(扣除非经常性损益后)(万元),1292,1320,1453,1347,771,1460,4740,8273,6955,4930,4647,3934,3417,2402,1526,1184,2151,2337,0,0,0,
经营活动产生的现金流量净额(万元),193,3742,-3098,-6515,2230,-14089,10649,17976,-159,1376,5415,7208,-1188,345,5014,1001,957,486,647,0,0,
现金及现金等价物净增加额(万元),-1044,2800,-3312,-1286,2244,-30583,-621,15349,-3135,-797,4175,4880,-3379,-1572,3439,-5016,-5108,25801,642,0,0,
总资产(万元),162254,166036,164031,167680,175221,192290,193638,217145,210632,213020,166018,163978,137333,103034,86839,67054,62932,50924,22612,24827,21509,
流动资产(万元),134770,140455,138376,142292,138863,153389,166285,198001,192768,195261,148565,148120,123646,90455,74560,54536,56253,0,0,0,0,
总负债(万元),81413,87193,86751,91948,101794,120207,121688,149210,149872,158535,115982,117375,94001,61962,46987,27881,23660,14319,12446,15798,13202,
流动负债(万元),79448,85211,85139,90086,99875,117667,120138,148073,148990,157306,114894,116615,93588,61616,46726,27881,23660,0,0,0,0,
股东权益不含少数股东权益(万元),77836,75717,74290,72866,71546,70227,70318,66486,59475,53389,49197,45827,42701,40606,39504,38953,38789,36606,10166,9029,8308,
净资产收益率加权(%),3.65,2.8,2.75,2.75,2.57,2.51,9.17,12.54,12.56,9.72,8.77,8.86,8.27,5.93,3.88,3.11,5.66,13.14,20.95,0,18.6,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
