报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),0.27,0.24,0.26,0.05,0.04,0.03,0.03,0.03,0.07,0.07,0.05,0.02,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,1.41,1.35,1.41,1.36,1.33,1.45,1.69,1.66,1.37,1.25,1.32,1.48,1.84,2.43,2.65,2.65,2.56,2.7,2.2,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.11,0.01,0.41,0.41,-0.21,0.1,-0.14,-0.19,0.07,0.02,0.2,0.32,0.12,-0.3,--,--,--,--,--,--,--,--,
主营业务收入(万元),1110637,1050518,1006377,757991,671634,556958,565374,650300,660776,650012,503438,232514,207222,239616,267124,248425,244120,231623,99201,114057,115448,122626,127828,132301,139218,160660,152295,104597,75009,78065,
主营业务利润(万元),95773,74352,64629,39941,31418,27130,26204,28573,26167,24053,19054,12945,15711,16529,17405,20142,20402,19981,-724,-6209,6285,10826,-1662,4927,4755,15540,13481,9483,5367,7704,
营业利润(万元),30555,21685,19149,2966,1479,490,851,1249,3779,4275,3081,172,1676,2994,1840,3796,4853,7488,-7539,-18803,-10180,4018,-929,5577,6075,0,13840,9877,5724,7986,
投资收益(万元),-1146,-13,--,--,--,0,--,--,--,--,0,--,--,-55,-54,-54,-155,22,228,345,-83,-172,302,114,219,25,0,0,0,0,
营业外收支净额(万元),65,6,-364,1493,2042,2262,2119,2097,1704,1169,729,1551,255,-116,-227,-275,-81,-73,-543,-790,-3881,0,0,0,0,235,0,--,--,--,
利润总额(万元),30620,21692,18785,4459,3521,2752,2970,3346,5483,5445,3809,1723,1931,2823,1560,3466,4617,7437,-7853,-19128,-14143,1163,215,4746,6375,17084,13864,6887,4030,6765,
净利润(万元),22321,14629,13929,2931,1991,1801,1722,1783,3558,3539,2642,1288,1180,1844,894,1771,6317,4614,-7853,-19128,-14144,1013,196,4057,5425,14525,11788,5854,3425,5750,
净利润(扣除非经常性损益后)(万元),21953,14426,12303,2837,1964,1601,1647,1692,1769,2388,1849,114,1036,1486,990,1211,3705,4427,-9264,-23079,-14144,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-85112,-98568,-128695,-141813,57171,-40539,1393,-14857,5900,-1574,21852,21767,-11215,6246,-7206,-9992,3887,1154,10501,17061,-6621,-16062,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),70262,27262,49579,4363,36928,-6650,33860,-316,-442,2760,11736,1218,2663,-2611,-9719,-5303,13571,11131,-5065,-3673,-1888,2250,--,--,--,--,--,--,--,--,
总资产(万元),1974380,1537198,1277810,946061,768849,684247,701615,610724,587316,541939,555938,442161,403150,409798,373612,308897,248998,208691,202598,221851,303030,299945,318186,302100,293326,275649,177947,91486,78298,67465,
流动资产(万元),1336440,1133741,1040853,751818,646683,550903,573139,505304,479461,433339,448491,291968,269648,281080,299641,233633,185850,--,0,0,0,222448,213498,200111,196033,184766,101087,42735,48343,40458,
总负债(万元),1754530,1356423,1178355,862547,687716,604246,622277,532657,510802,468694,479781,368538,331155,317541,282805,219444,175578,141603,132538,143081,205091,170499,189754,173912,169196,156844,94510,45555,39382,29113,
流动负债(万元),1306407,1069161,922961,644819,623858,521026,558463,496088,469640,422919,392204,284554,249706,281858,281205,217844,175578,--,0,0,0,148590,137345,146703,143253,133047,75482,20183,23561,16399,
股东权益不含少数股东权益(万元),183646,154620,95655,82394,80290,79010,78508,77321,75792,72541,75481,72838,71151,91341,89905,88585,72891,66576,70060,78771,97940,129445,128432,128187,124130,118805,83437,45931,38918,38352,
净资产收益率加权(%),13.35,10.7,15.65,3.5,2.5,2.29,2.21,2.33,4.79,4.6,3.56,1.78,1.66,2.03,1,2.4,9.06,7.18,-10.65,-21.65,0,0.79,--,0,0,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
