报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,
基本每股收益(元),0.02,0.01,0,0.02,-0.02,0.03,-0.02,0.01,0.04,0.03,0.01,0.03,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,0.98,0.94,0.89,0.88,0.87,0.79,0.84,0.82,0.98,1.04,1.03,1.06,1.09,1.1,1.71,1.77,1.73,1.57,1.45,1.39,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.17,0.2,-0.35,-0.07,0.05,0.09,0.1,0.04,0.02,0.02,0.14,0.02,0.11,0.02,--,--,--,--,--,--,--,
主营业务收入(万元),72156,63705,85804,61917,49946,69484,62682,72389,87578,74558,50826,18940,19324,16121,11442,12925,11852,12896,8286,11841,16466,12517,17395,26861,35346,33980,46286,55262,40064,
主营业务利润(万元),8316,6638,7369,7829,7221,9519,6517,8328,8312,7543,5435,3140,2828,415,732,140,941,869,240,428,835,-1677,-9613,3186,0,4053,8628,3122,4275,
营业利润(万元),790,405,532,839,-630,475,-762,561,1518,1458,830,152,128,-1961,629,-4357,-701,425,-101,61,834,-5170,-6851,4481,0,4041,5195,0,4313,
投资收益(万元),18,33,37,33,2525,98,--,--,--,--,0,607,3,0,0,0,0,0,-90,0,0,-75,-45,-56,0,138,--,0,0,
营业外收支净额(万元),-15,55,-279,29,283,590,2,-97,-65,-208,-116,340,2388,6,33,-77,-73,111,496,227,133,--,0,0,0,0,22,--,--,
利润总额(万元),775,459,253,868,-347,1064,-760,463,1454,1250,714,491,2516,-1955,662,-4434,-773,536,305,288,967,-5219,-6927,4437,5318,5262,5274,4650,4236,
净利润(万元),546,330,97,546,-673,769,-652,324,1037,918,415,757,2586,-1955,662,-4434,-773,536,305,293,1001,-5219,-6927,3759,4598,4571,4671,4017,3598,
净利润(扣除非经常性损益后)(万元),484,154,208,511,-3174,232,-593,386,1089,1125,473,182,198,-1961,529,-4093,-701,425,-196,293,1001,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),7446,-2189,1172,-1869,17349,11949,-6935,1842,4817,5680,-9964,-1862,1484,2665,2758,1081,478,686,3999,452,3102,459,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),868,-5351,-2254,-52883,61045,-2831,-4954,-750,3311,4748,1380,-292,-334,252,-1831,-1187,140,-774,-1362,-221,-934,-3483,--,--,--,--,--,--,--,
总资产(万元),61416,61709,62976,63248,115509,116274,73135,68165,66839,72589,75678,44667,37776,37603,38919,42971,47638,47902,45023,46697,48513,44607,53158,57066,52626,44105,48172,45654,42562,
流动资产(万元),31667,32025,34811,34973,96076,88771,44113,38412,36186,41516,44381,19756,13271,13884,12594,15451,18573,16711,0,0,0,23342,34422,38405,31830,27501,37068,37690,34502,
总负债(万元),28474,29312,30909,31278,84368,88139,45768,40146,39145,45933,50482,19886,13176,15219,15033,19747,19980,18503,15945,16764,17519,13328,11908,19554,15900,10728,17242,18848,26795,
流动负债(万元),20934,29306,30903,31017,28638,29332,29266,23632,20506,24996,27875,19849,13176,15219,15033,19747,19980,18503,0,0,0,13328,11908,19554,15900,10728,17242,18848,26795,
股东权益不含少数股东权益(万元),32943,32397,32067,31970,31141,28135,27366,28018,27694,26656,25196,24781,24600,22384,23886,23224,27658,29399,29078,29933,30989,31279,41250,37512,36726,33377,30930,26805,15767,
净资产收益率加权(%),1.67,1.02,0.3,1.72,-2.27,2.77,-2.35,1.16,3.82,3.58,1.66,3.08,11.1,-8.54,2.81,-17.43,-2.77,1.85,1.05,0.98,0,-15.34,--,--,0,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
