报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,
基本每股收益(元),0.92,1.8,1.03,0.08,-0.46,0.07,0.08,0.05,0.14,0.25,0.11,0.01,0.71,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,2.06,2.06,1.96,1.85,3.53,5.1,3.91,9.85,6.47,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.32,0.22,0.35,0.42,0.05,2.04,0.98,2.72,2.73,
主营业务收入(万元),4862010,4735111,4155717,2665040,2590946,3561858,3684888,3727636,4239100,3711501,2656551,2921665,2070637,1509667,1258863,936562,552570,
主营业务利润(万元),460134,656083,355551,128807,72308,195048,176926,167743,207924,213203,178570,154803,240095,143469,105678,148418,111449,
营业利润(万元),266114,538268,303343,22353,-122115,15484,20009,4466,42641,75062,34027,2233,108182,83601,58099,104790,83025,
投资收益(万元),268,-176,-176,-20,100,50,101,-60,-86,1876,-11,--,--,0,--,--,--,
营业外收支净额(万元),-194,325,248,-117,-10556,4134,3743,8107,-2362,-4859,-2550,-4,-356,-454,--,--,--,
利润总额(万元),265920,538592,303591,22237,-132670,19617,23752,12573,40279,70203,31478,2228,107826,83147,57127,101356,81690,
净利润(万元),234685,460970,264618,19644,-118944,16873,21671,12259,36226,63116,27022,1552,99882,71556,51149,92438,69644,
净利润(扣除非经常性损益后)(万元),230402,456421,260132,20299,-109092,13313,18366,5375,35121,62354,27747,8850,96473,71942,51952,95357,70775,
经营活动产生的现金流量净额(万元),488539,565159,461259,158792,28412,304736,240064,-183194,81289,56020,90377,106829,7715,123624,59112,54792,55040,
现金及现金等价物净增加额(万元),-300476,306651,179634,-269547,40884,206303,45501,-94714,100309,9611,20487,-49603,-3748,58387,-8362,32913,-1368,
总资产(万元),2644565,2495084,2307392,2081190,2262629,2500007,2375142,2253973,1916499,1852179,1495264,1374325,1376517,865479,710417,493073,285458,
流动资产(万元),1390745,1523308,1283509,1030503,1165576,1371665,1262782,1243191,1071292,974050,637957,547597,795126,456181,358431,286838,129337,
总负债(万元),1510232,1442225,1587472,1617700,1818807,1929987,1814180,1714347,1389622,1323209,992978,899061,874329,557169,473663,294395,155023,
流动负债(万元),1375289,1264074,1537422,1455707,1557883,1574366,1498215,1440550,990987,1094024,810068,705028,709529,429369,422663,280395,155023,
股东权益不含少数股东权益(万元),1134334,1052860,719920,463490,443822,570020,560962,539626,526877,528971,502286,475265,502188,308310,236754,198679,130435,
净资产收益率加权(%),21.71,52.64,44.7,4.33,-23.44,2.98,3.94,2.3,6.82,12.26,5.53,0.32,22.6,0,23.85,56.17,71.86,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
