报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,
基本每股收益(元),0.51,0.41,0.44,0.32,0.2,0.09,0.05,0.07,0.14,0.18,0.12,0.15,0.3,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,3.17,2.38,2.25,2.22,3.11,3.1,2.94,1.93,1.59,1.37,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.44,0.01,0.77,0.34,0.79,-0.72,0.07,0,0,0,
主营业务收入(万元),463183,430646,411956,267701,164681,141200,124287,112018,115777,108095,88485,94760,102557,80438,66064,56948,47854,44624,
主营业务利润(万元),77732,70375,69481,50308,27671,22011,18325,17873,17658,15413,11630,14098,14426,10891,7507,6191,5441,4463,
营业利润(万元),46861,39675,43747,29769,9533,4113,2537,3077,1731,3642,820,2832,4970,4942,4022,3611,3416,3187,
投资收益(万元),9291,7507,4976,2590,859,151,-155,-209,-209,-209,-344,-209,-213,-145,-9,0,0,0,
营业外收支净额(万元),716,536,558,980,2081,1098,703,1101,1714,830,1628,769,--,-96,69,105,112,0,
利润总额(万元),47577,40211,44305,30749,11614,5210,3241,4178,3445,4472,2448,3601,5233,4721,4116,3738,3579,3193,
净利润(万元),39429,33085,36488,25983,9749,4279,2317,3268,2765,3269,2215,2654,3682,3187,3019,2741,2555,2160,
净利润(扣除非经常性损益后)(万元),28454,25023,31297,23082,7170,3613,1710,2566,1875,2582,861,2569,3581,3240,2937,0,0,0,
经营活动产生的现金流量净额(万元),69741,30119,43551,38847,18530,10119,9379,10726,10227,274,14076,6173,9612,-8796,900,3337,0,0,
现金及现金等价物净增加额(万元),40030,7224,13856,-1432,102,909,864,1177,6251,-3325,2222,-7045,3647,-3404,9083,2812,0,0,
总资产(万元),376011,298553,266694,198430,116565,108740,97768,94672,97043,87810,85597,99807,87956,82382,65612,41418,35526,36802,
流动资产(万元),212810,168713,183694,121060,83618,77799,65530,60527,63554,53104,49144,60367,58266,54340,39713,24926,17942,17986,
总负债(万元),184014,130182,71369,38082,24850,26353,18711,16444,20069,41915,42086,54277,47580,42259,26461,23906,21058,22846,
流动负债(万元),156961,127005,68796,35199,22784,22602,17077,14994,18776,41401,41648,53795,47540,42259,26461,23906,21058,22846,
股东权益不含少数股东权益(万元),184506,165746,193079,158036,89226,79864,76601,75742,74426,43495,41150,40646,37992,37879,35910,15432,12690,10933,
净资产收益率加权(%),22.91,18.21,20.75,17.57,11.52,5.34,3.05,4.36,4.62,7.74,5.43,6.75,9.25,8.66,10.63,19.49,22.13,21.93,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
