报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.32,0.27,0.36,0.35,0.26,0.27,0.39,0.5,0.99,0.89,0.66,0.45,
每股净资产(元),--,--,--,--,--,1.79,2.96,3.99,7.18,2.83,1.93,3.07,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,-0.09,0.28,0.36,-0.07,1.21,0.85,-0.23,
主营业务收入(万元),154218,121976,93352,105027,67106,48928,38173,33565,19705,15813,11226,12156,
主营业务利润(万元),37183,34302,28893,28569,20828,14958,12265,9967,8082,6065,4535,3695,
营业利润(万元),15712,13975,14648,13812,9410,6644,5469,4671,3999,2939,1845,1233,
投资收益(万元),764,349,1683,--,--,--,--,--,--,--,54,--,
营业外收支净额(万元),-20,-319,-236,140,385,173,68,60,67,195,2,-10,
利润总额(万元),15693,13656,14412,13952,9795,6817,5537,4731,4066,3134,1847,1223,
净利润(万元),13518,11251,12300,11597,8331,5773,4721,4022,3459,2678,1691,1090,
净利润(扣除非经常性损益后)(万元),13048,11069,12331,11519,8026,5657,4693,4019,3450,2533,1475,989,
经营活动产生的现金流量净额(万元),14687,24175,-3313,8,4496,-1945,3410,2903,-266,3643,2555,-232,
现金及现金等价物净增加额(万元),20670,37939,7901,-9985,-1890,614,542,1206,10710,3054,1685,-43,
总资产(万元),251498,184687,137670,100429,65867,52459,44526,41015,32484,12142,9193,7090,
流动资产(万元),192342,126856,91868,59043,50631,44111,36676,33421,25592,10433,7434,5662,
总负债(万元),127444,46075,64551,38739,16659,12485,9056,9068,3759,3660,3389,3934,
流动负债(万元),125132,42886,57206,29693,10179,8036,9056,9068,3759,3660,3366,3878,
股东权益不含少数股东权益(万元),124054,138612,73119,61690,49209,39973,35469,31948,28726,8482,5804,3073,
净资产收益率加权(%),10.4,9.51,18.45,21.39,19.78,15.37,14.05,13.26,18.59,37.49,40.48,43.12,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
