报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.07,-1.29,0.16,0.18,0.26,0.23,0.25,0.46,0.82,0.7,0.38,0.44,
每股净资产(元),--,--,--,--,--,--,--,5.63,3.76,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,0,0.86,0.41,0.32,0.24,
主营业务收入(万元),417977,457702,304213,157017,83901,52326,43639,38851,37445,23389,13730,15019,
主营业务利润(万元),64430,62676,61341,45048,24296,14075,12650,9874,10908,7893,4730,4818,
营业利润(万元),6668,-94407,17198,16457,6019,3993,3925,3917,6059,3948,2040,2341,
投资收益(万元),9868,3256,1031,821,330,--,--,0,--,-69,0,0,
营业外收支净额(万元),4685,-14729,405,735,549,486,1117,544,211,218,29,35,
利润总额(万元),11353,-109136,17603,17192,6567,4479,5042,4461,6269,4166,2069,2376,
净利润(万元),6565,-113408,13613,14331,5648,4040,4445,3849,5407,3614,1912,2173,
净利润(扣除非经常性损益后)(万元),-7041,-99003,-350,13700,5136,3684,3499,3386,5228,3488,1886,2142,
经营活动产生的现金流量净额(万元),8166,9419,4429,25274,4620,4553,11005,4509,5663,2690,1601,1192,
现金及现金等价物净增加额(万元),18857,-7866,-6840,19778,13299,-1076,-3909,10345,-595,2840,2479,251,
总资产(万元),459810,456081,430721,329302,208722,97563,78697,65197,42662,32819,17313,13004,
流动资产(万元),289658,249541,210648,146949,100899,49447,40881,40255,26437,22635,11961,8113,
总负债(万元),247686,246087,166694,108773,76199,41660,25302,15650,17826,13390,6951,4787,
流动负债(万元),209908,192279,134351,91803,65330,39252,22861,13886,16998,11192,4451,4787,
股东权益不含少数股东权益(万元),201294,201228,260074,217209,130066,55745,53112,49547,24835,19428,10129,8217,
净资产收益率加权(%),3.21,-44.64,5.4,7.62,5.74,7.46,8.68,8.67,24.43,28.47,20.85,31.21,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
