报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,
基本每股收益(元),0.02,0.04,0.02,0.02,0.03,0.06,0.05,0.03,0.05,0.06,-0.39,0.01,-0.24,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,1.33,1.28,1.22,1.61,1.62,1.88,2.42,2.39,2.81,2.77,3.12,1.69,1.48,1.04,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.21,0.17,0.13,0.2,0.31,0.11,0.02,0.22,0.13,0,0.15,-0.07,--,--,
主营业务收入(万元),308277,326400,285016,236111,227483,225031,222181,215377,210875,200520,139473,180266,184286,178791,160198,148178,128314,112612,101089,104137,87257,79528,
主营业务利润(万元),38090,26234,20288,16548,15713,18043,16221,16613,10573,12823,391,10242,8845,10796,8933,5853,8123,6718,9480,11030,10295,8403,
营业利润(万元),1690,2079,368,692,1127,1478,488,1305,-1238,651,-13122,-636,-7599,1632,1597,-5053,407,-3572,3460,4966,3405,2710,
投资收益(万元),428,428,53,--,--,--,--,-1364,--,0,--,--,574,0,0,-2396,-85,215,-59,-94,15,18,
营业外收支净额(万元),-263,36,334,342,308,831,1129,-483,2797,1368,618,1162,--,153,-7,-3935,-28,-1406,13,0,102,0,
利润总额(万元),1428,2115,702,1034,1435,2309,1617,822,1559,2019,-12504,526,-7501,1785,1591,-11378,311,-4751,4137,5326,4221,3703,
净利润(万元),1160,2101,686,1028,1253,2432,1700,829,1552,2021,-12486,326,-7793,1490,840,-10311,227,-4718,2841,3399,2512,2542,
净利润(扣除非经常性损益后)(万元),589,1011,-1101,686,951,1601,631,3921,-1224,656,-13104,-843,-8412,1411,590,-4667,-288,-3769,2102,0,--,--,
经营活动产生的现金流量净额(万元),1662,-2167,15348,7170,6234,3783,5483,2456,6750,5576,4227,6498,9975,3417,536,5438,3071,11,3785,-1182,-2012,--,
现金及现金等价物净增加额(万元),-9821,-1609,43884,891,-2747,-12826,10469,-7928,3761,1680,-7184,3340,1378,2369,-420,-1759,-1611,-11265,23256,-2548,2176,--,
总资产(万元),344266,363837,345021,272342,242946,211872,170637,139495,139134,126931,123042,138402,131626,132151,121752,102878,130604,122925,130778,82119,73383,61645,
流动资产(万元),203919,226175,203077,139158,127321,123883,113856,82993,81796,64644,59776,70715,63996,66273,66291,56598,71256,0,0,0,34268,29200,
总负债(万元),195808,216698,200157,187633,159164,129277,128520,99033,95437,84790,82921,85764,78651,70768,61087,43051,58559,51485,53208,51358,47130,44357,
流动负债(万元),190487,203781,187118,174595,155015,121537,120269,97938,88724,77501,81559,83751,76613,68702,58668,42464,52801,0,0,0,41566,41027,
股东权益不含少数股东权益(万元),148084,146944,144863,84709,83783,82595,42084,40386,42634,41081,39060,51546,51785,60192,59373,58549,68860,67762,73961,27013,24125,16578,
净资产收益率加权(%),0.79,1.44,0.76,1.22,1.51,3.38,4.12,1.94,3.71,5.04,-0.27,0.63,-13.99,2.5,1.43,-16.19,0.33,-6.96,6.54,12.58,--,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
