报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,
基本每股收益(元),0.19,0.21,0.19,0.18,0.15,0.17,0.18,0.17,0.31,0.24,0.2,0.47,0.31,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,0,2.7,2.54,2.15,2.64,4.54,4.85,3.92,4.54,4.63,1.97,1.6,1.3,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,0,-0.1,-0.04,-0.12,-0.24,0.17,0.76,0.23,0.32,-0.48,0.01,-0.1,0.03,
主营业务收入(万元),181929,188135,194665,181086,194519,193226,212914,224555,226440,200489,160656,136175,135991,118256,84014,77701,51736,39310,32451,28503,
主营业务利润(万元),63428,62849,68957,59222,57256,47537,45044,44068,66684,52167,37315,39459,34824,23377,17975,15414,11480,7526,5942,5294,
营业利润(万元),22857,25978,24471,19477,12169,3711,860,2469,27291,19956,13684,24877,26107,14368,10355,9618,7222,5131,3979,3293,
投资收益(万元),382,775,--,600,--,--,800,0,--,--,298,20,444,294,266,66,0,0,-24,--,
营业外收支净额(万元),807,469,264,1266,3770,14297,18646,15815,981,643,540,-138,--,-37,-29,-58,-54,0,0,-10,
利润总额(万元),23665,26447,24735,20743,15939,18008,19506,18284,28272,20599,14225,24739,26327,14710,10616,9626,7168,5081,3913,3283,
净利润(万元),21179,23416,21512,17161,14139,15633,17257,15853,24626,17794,12412,22052,19117,10088,7446,6800,4723,3416,2594,2205,
净利润(扣除非经常性损益后)(万元),20496,22996,21287,16831,13957,15216,15769,14077,23800,17248,11955,22182,18972,9919,7447,6854,4792,0,0,--,
经营活动产生的现金流量净额(万元),15144,-10648,16874,52313,3134,-4535,4510,-8385,-7928,-2782,-7586,-11563,3919,14461,2899,3155,-4341,90,-683,--,
现金及现金等价物净增加额(万元),10979,-4909,4862,-35442,41142,-25687,-40097,21293,-34085,28246,41149,-8504,-4729,37786,-1000,-1809,13808,1374,-443,--,
总资产(万元),502589,486493,445168,426336,487893,427773,404472,424825,365812,342964,266323,188606,151794,131614,97182,87737,67417,34666,26981,23074,
流动资产(万元),402027,379490,338055,334218,394885,337551,320315,342563,291209,283615,221103,149019,122521,104738,73958,66328,55155,29559,22540,19914,
总负债(万元),215784,200388,178073,192481,253237,201128,178923,206702,153228,143091,134067,63634,44196,39265,46396,42736,25742,21670,16422,14491,
流动负债(万元),150325,174115,55348,136928,167765,166020,107968,180801,93379,53288,103791,47258,27896,34545,42896,42736,24242,21670,14222,10051,
股东权益不含少数股东权益(万元),286380,285652,266573,233368,234206,226188,225033,217596,212058,199383,132257,124972,107598,92050,50408,44923,41675,12996,10559,8582,
净资产收益率加权(%),7.23,8.51,8.92,7.14,6.11,6.86,7.81,7.38,11.93,12.64,9.6,18.96,19.24,17.71,15.79,15.7,16.97,27.84,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
