报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.48,0.4,0.57,0.47,0.33,0.69,1.44,1.04,0.9,0.73,0.26,
每股净资产(元),--,--,--,--,--,4.37,5.58,4.14,3.09,3.07,1.65,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.52,1.17,0.91,0.53,1.11,0.63,
主营业务收入(万元),200708,185178,146951,119016,83389,64781,53006,45419,44964,35626,19053,
主营业务利润(万元),58417,57141,51534,41346,28379,20305,17284,13783,11549,8876,4009,
营业利润(万元),26311,21826,30250,22531,15669,11942,10471,7987,6408,4875,1769,
投资收益(万元),1777,-1963,4831,234,752,255,--,--,--,-4,3,
营业外收支净额(万元),-464,-146,788,1175,738,1259,1601,753,638,540,90,
利润总额(万元),25848,21679,31037,23706,16407,13201,12072,8740,7046,5415,1859,
净利润(万元),22515,18738,26656,20182,13780,11223,9969,7197,5919,4529,1392,
净利润(扣除非经常性损益后)(万元),20945,19768,21542,19060,12507,9875,8613,6059,5366,4048,1313,
经营活动产生的现金流量净额(万元),37208,21183,24539,25350,8443,8507,8100,6292,3658,3549,2008,
现金及现金等价物净增加额(万元),18974,-26468,34768,3351,-383,3447,112,-787,4429,271,106,
总资产(万元),352873,345874,328913,248883,133051,89085,54377,40662,33300,23886,16713,
流动资产(万元),173015,182047,207525,175828,74606,60226,32898,25025,22804,15035,13783,
总负债(万元),89113,96225,101569,46363,48083,16530,14769,11252,11545,13803,11234,
流动负债(万元),79295,91706,97787,40210,36691,15387,13757,9838,10889,12619,9198,
股东权益不含少数股东权益(万元),254343,240320,226865,202111,84466,72095,38505,28536,21339,9809,5281,
净资产收益率加权(%),9.16,8.02,12.5,15.99,17.68,17.25,29.74,28.86,37.22,60.02,30.37,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
