报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.47,0.31,0.42,0.23,0.5,0.88,0.81,0.73,0.61,0.5,--,
每股净资产(元),--,--,--,--,--,--,--,3.31,2.74,2.29,1.84,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,0.78,0.76,0.64,0.41,
主营业务收入(万元),56037,56623,62878,51239,57572,61581,45043,33733,30612,27068,13885,
主营业务利润(万元),20829,14932,22505,15782,19878,31994,25099,19018,17040,14219,6370,
营业利润(万元),11247,8780,10669,4224,10716,19556,17153,15472,12625,9392,4385,
投资收益(万元),-326,48,260,484,747,326,--,--,--,--,--,
营业外收支净额(万元),-5,-781,-113,1474,2580,2783,970,1090,346,651,1222,
利润总额(万元),11242,7999,10556,5698,13296,22339,18122,16562,12971,10043,5607,
净利润(万元),10830,7112,9569,5275,11328,19631,15373,13791,11468,9074,5091,
净利润(扣除非经常性损益后)(万元),6564,2464,6757,3371,7736,16755,14503,12865,11164,8495,3987,
经营活动产生的现金流量净额(万元),13353,29216,23454,11053,20666,23958,20382,14750,14433,12142,7693,
现金及现金等价物净增加额(万元),-32602,9351,17077,8718,-35358,54028,499,2242,17,4224,6063,
总资产(万元),230778,227220,211522,193485,199845,204849,106132,68052,59798,48626,40152,
流动资产(万元),113425,109721,100152,77897,74836,105976,36088,32439,30309,27623,20653,
总负债(万元),32247,38888,32293,26054,35065,47620,31054,5344,7880,5174,7423,
流动负债(万元),16927,19302,24302,18065,25632,36836,19409,4860,7880,5174,6423,
股东权益不含少数股东权益(万元),198530,188332,179229,167431,164781,157229,75078,62708,51918,43452,32730,
净资产收益率加权(%),5.61,3.89,5.56,3.18,6.95,13.69,20.94,22.31,22.51,24.22,16.15,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
