报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.17,0.16,0.11,0.03,0.09,0.27,0.65,0.62,2.87,0.93,0.07,0.21,0.76,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,4.65,2.99,2.1,2.03,3.76,3.04,2.84,2.79,2.73,2.64,2.53,2.48,1.82,1.67,2.27,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,1.61,1.17,-0.25,-0.25,0.74,0.6,0.26,0.1,0.06,0.13,0.01,0.42,0.01,-0.12,--,--,--,--,
主营业务收入(万元),1809180,1395472,1020398,511316,654881,583783,847193,924175,1152826,525794,259296,322456,249959,132768,88059,79523,50111,30302,31543,39253,24630,22782,20200,24890,20024,10871,
主营业务利润(万元),197112,192262,178386,103943,148777,189407,304616,370954,823306,254675,58058,71210,88061,35928,11326,13189,10645,9127,10886,13045,7914,6968,6790,6746,5995,1690,
营业利润(万元),83216,83255,81956,18216,28005,37001,104086,202276,726632,182200,10259,24243,58184,20894,1476,3658,3707,6541,7368,9995,5049,7002,6790,6746,5995,1690,
投资收益(万元),3281,3949,2640,899,2367,-91,-621,-483,475,845,-262,-57,334,4,1,12,-50,-16,--,30,213,336,0,--,0,0,
营业外收支净额(万元),1145,539,-1908,12763,8809,5701,16762,7322,923,2012,7090,2369,-6679,-5682,-110,-933,-7,-36,-73,-513,360,0,0,-14,0,0,
利润总额(万元),84361,83794,80048,30980,36814,42702,120848,209598,727555,184212,17349,26612,51506,16111,1945,3607,4296,6805,8174,10046,7465,9124,8108,6732,5995,1688,
净利润(万元),61629,58379,40134,9084,32572,64303,157419,151038,347842,75074,5577,16913,30815,7906,1305,2188,3788,6519,8057,9808,6341,7833,7116,4511,5995,1688,
净利润(扣除非经常性损益后)(万元),48479,46797,32219,1926,26475,61364,145847,146013,348527,74565,1259,15492,38736,8746,1417,2896,3691,6462,7536,10299,6341,--,--,--,--,--,
经营活动产生的现金流量净额(万元),88789,-69902,-180921,10095,270850,69735,113462,-98289,194781,94344,-19787,-20417,29896,24283,10281,4174,2359,5063,331,17012,207,-4309,--,--,--,--,
现金及现金等价物净增加额(万元),-73879,-196771,214457,51787,37666,-198084,121071,20606,83170,33094,4577,71332,284,29040,6053,-1671,2920,-32519,-8711,38493,-626,-19492,--,--,--,--,
总资产(万元),2316091,2373259,2060088,1562164,1453763,1708620,1846293,1764987,1472663,878958,646352,577490,370262,251992,201971,205612,200867,140173,129372,122309,77341,70922,65453,27482,22728,18668,
流动资产(万元),1673089,1728741,1532450,1057762,933200,1188927,1325100,1157792,1008322,512979,410129,365476,208981,121599,68130,69398,64046,35463,68255,68117,0,36159,40782,5234,5241,4484,
总负债(万元),1027020,1127046,995240,582308,463136,693710,817268,771599,564891,451837,396742,356051,178844,108312,70665,77101,75338,24348,19910,14679,10945,10237,6245,18960,17430,14321,
流动负债(万元),569891,613447,603939,549437,438958,664509,767925,703341,494461,335015,326996,331920,162596,99572,67547,71983,70825,24348,19910,14679,0,10237,6245,18960,16009,12900,
股东权益不含少数股东权益(万元),958474,922530,884561,829661,831584,830376,782033,671992,563345,241624,169607,163789,151747,122690,114445,112562,110334,106513,102013,100181,66396,60685,59208,8522,5298,4347,
净资产收益率加权(%),6.48,6.47,4.69,1.09,3.93,7.86,21.79,23.64,84.67,36.66,3.35,10.72,20.06,6.67,1.15,1.96,3.46,6.32,7.9,10.56,0,13.07,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
