报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
基本每股收益(元),0.17,0.43,-0.14,0.09,0.17,-0.12,0.05,0.08,0.11,0.23,0.37,0.46,0.95,1.12,1.11,1.06,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,1.69,3.18,2.68,4.92,9.41,5.4,4.28,3.17,0,0,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.17,0.16,0.23,0.14,0.27,1.32,0.95,0.4,0,0,0,0,0,
主营业务收入(万元),109232,189816,37317,28862,20937,31320,43277,37697,37014,35298,31434,24155,18377,17714,17575,15078,13187,10762,7403,2066,37,
主营业务利润(万元),74276,134631,13234,10521,6925,8858,14734,16668,16167,17423,14209,10681,7583,7380,6744,5841,4923,2783,2649,476,3,
营业利润(万元),16078,45696,-11931,6733,12879,-11791,2621,5961,5452,7711,8040,5298,3910,4521,4491,4237,3637,2224,2119,263,-17,
投资收益(万元),1415,19225,-4465,12013,20143,621,0,37,129,-618,1215,--,0,--,--,--,-2,2,-1,0,0,
营业外收支净额(万元),340,139,125,1316,650,-202,1097,1536,2739,356,282,--,--,2,-23,18,0,0,0,0,0,
利润总额(万元),16417,45835,-11806,8049,13530,-11993,3718,7497,8190,8067,8322,5528,4067,4524,4468,4256,3628,2283,2117,262,-18,
净利润(万元),13500,33639,-10761,7591,12833,-8885,3566,6420,7059,7026,7386,4614,3826,4161,4116,3937,3332,2069,2117,244,-18,
净利润(扣除非经常性损益后)(万元),13757,26147,-11544,3972,2671,-9134,2792,5301,4833,7348,6147,4442,3331,3787,3780,3599,0,0,0,0,0,
经营活动产生的现金流量净额(万元),-26704,30895,-547,-65,286,5785,6955,1432,10781,5097,4543,1428,1344,4888,3524,1482,0,0,0,0,0,
现金及现金等价物净增加额(万元),-51851,44399,23872,-31688,652,1745,-1860,-12527,-14581,39023,5398,36,13017,2809,1256,867,0,0,0,0,0,
总资产(万元),352662,370146,323413,204229,138755,158837,144411,139734,138407,136028,82433,61973,50378,27596,18996,14649,9933,7654,4755,2056,182,
流动资产(万元),141162,178708,93896,95285,110994,95493,79701,76684,90306,98539,53337,41094,34510,17928,13702,11349,7122,6361,3869,1621,171,
总负债(万元),144908,164305,183606,68794,22694,32532,22251,16055,21466,30496,23540,10597,3235,7573,3134,2902,2139,3192,2362,1780,150,
流动负债(万元),87728,116002,129036,66991,22499,26483,16153,9131,14475,26456,23214,10457,3135,5473,3071,2902,1994,3192,2362,1780,150,
股东权益不含少数股东权益(万元),192343,194390,134964,135435,116062,104357,111963,112976,106774,100379,53616,49254,47143,20023,15862,11746,7794,4462,2393,276,32,
净资产收益率加权(%),6.92,20.44,-7.97,6.09,11.63,-8.21,3.18,5.84,6.83,12.97,14.36,9.62,13.78,23.19,29.86,33.04,0,0,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
