报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.27,0.88,0.72,0.18,0.14,0.28,0.04,
每股净资产(元),3.24,3.58,2.7,1.32,1.93,1.03,0.75,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.12,0.08,
主营业务收入(万元),71424,60670,42531,14692,6491,6885,4929,
主营业务利润(万元),25180,23164,17603,5243,2482,2653,1627,
营业利润(万元),3001,5926,5021,913,227,707,15,
投资收益(万元),--,--,--,--,--,--,--,
营业外收支净额(万元),-72,-71,-272,430,239,234,137,
利润总额(万元),2929,5855,4749,1343,465,942,152,
净利润(万元),3202,5436,4224,1017,430,826,118,
净利润(扣除非经常性损益后)(万元),2891,5321,4439,890,403,807,89,
经营活动产生的现金流量净额(万元),1530,2663,606,-4395,-180,339,224,
现金及现金等价物净增加额(万元),-39,-16,1540,-305,371,-241,-175,
总资产(万元),144561,68941,50558,27196,9383,9527,7684,
流动资产(万元),116803,49387,40210,21529,6711,7471,5784,
总负债(万元),105200,46715,33768,19740,2944,6527,5511,
流动负债(万元),102048,42343,32894,18138,2864,6437,5411,
股东权益不含少数股东权益(万元),39361,22226,16790,7456,6439,2999,2173,
净资产收益率加权(%),9.39,27.86,36.7,14.64,10.19,31.96,5.58,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
