报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,
基本每股收益(元),0.08,0.07,0.1,0.01,0.09,0.13,0.08,-0.3,0.13,0.21,0.31,0.27,0.18,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,4.52,4.47,4.4,4.2,4.01,3.86,3.79,3.68,3.7,2.36,1.99,1.95,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.08,0.51,0.87,0.36,0.46,0.59,0.64,0.33,0.28,1.16,--,0.76,
主营业务收入(万元),56327,55159,56903,61758,75155,82901,79631,69059,88038,90872,109542,102933,103127,95557,84803,80878,88034,90570,94392,88550,
主营业务利润(万元),9012,7692,4085,13996,18499,19866,17461,8038,20521,20199,22506,19876,17870,17124,16083,13199,17330,23132,26216,28964,
营业利润(万元),2673,2582,4137,655,2165,2205,1688,-7699,3577,6592,9614,7300,6806,5311,3998,2323,2890,10660,11095,17302,
投资收益(万元),1614,2274,1530,1151,1085,631,483,433,675,57,47,26,198,34,40,32,70,70,56,102,
营业外收支净额(万元),-19,-29,-67,386,384,1079,735,232,1057,478,317,--,--,-21,-9,-13,-131,0,-207,-2178,
利润总额(万元),2653,2552,4070,1041,2549,3284,2423,-7467,4634,7070,9931,8700,7013,6119,4587,2342,2829,10615,10944,15335,
净利润(万元),1982,1850,2418,168,2302,3245,2037,-7381,3343,5289,7685,6834,4406,3507,2704,1456,1152,6955,6330,8534,
净利润(扣除非经常性损益后)(万元),475,-57,-4629,-1070,1089,1499,876,-8011,2040,4760,7310,5391,3951,2934,2341,1411,1285,0,--,--,
经营活动产生的现金流量净额(万元),6318,1845,398,3473,4818,8327,7879,-832,2028,12643,21827,8910,11616,14746,15930,8288,7060,21682,--,--,
现金及现金等价物净增加额(万元),3731,8309,8946,3964,3691,6010,4130,-3197,-4803,6887,16179,4089,1666,-1395,1773,-17853,13706,930,--,--,
总资产(万元),122322,120974,121175,118628,117959,118125,115128,113279,124799,126991,125277,120109,118748,116552,120728,114735,134463,119633,109223,87356,
流动资产(万元),78414,77072,75925,62622,57975,55071,49484,45830,50260,50042,42731,32428,24656,20111,18389,22205,37711,--,18450,11684,
总负债(万元),7701,7556,8824,8439,7264,8675,7641,7821,10320,13761,13465,13386,16830,17982,24045,20782,41863,74569,71187,50600,
流动负债(万元),7192,7333,8653,8035,6817,8361,7641,7821,10320,13761,13465,13386,16830,17982,24045,20782,37163,--,31722,35535,
股东权益不含少数股东权益(万元),113793,112561,111461,109256,109838,108536,106444,104353,113000,111657,110118,105020,100184,96574,94711,92006,90537,44127,37158,36434,
净资产收益率加权(%),1.77,1.65,2.19,0.15,2.11,3.03,1.93,-6.79,2.98,4.78,7.16,6.68,4.42,3.67,2.9,1.6,1.4,17.11,15.99,20.99,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
