报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.66,0.77,0.41,-0.34,0.17,0.16,0.29,0.56,0.83,0.97,0.76,0.78,0.61,
每股净资产(元),--,--,--,--,--,--,--,--,4.66,5.98,2.96,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.54,0.92,0.66,0.82,2.38,
主营业务收入(万元),818701,790122,645180,494447,593967,593382,550272,535392,423253,302339,268641,266614,229411,
主营业务利润(万元),173618,178246,130577,66622,96960,101654,104786,119036,107547,87970,63968,55695,43171,
营业利润(万元),85047,96144,52904,-30257,16290,17159,32291,54689,59331,43627,30979,29931,23079,
投资收益(万元),1497,124,71,4159,268,22,705,936,1356,2070,191,-281,137,
营业外收支净额(万元),394,-240,228,5080,4637,7071,3512,5243,2773,3847,2447,--,1646,
利润总额(万元),85441,95905,53132,-25177,20927,24231,35802,59932,62104,47474,33425,30812,24725,
净利润(万元),63530,74086,36070,-28262,14411,13544,23164,45227,49735,35476,25078,21444,13533,
净利润(扣除非经常性损益后)(万元),57300,70340,30125,-36072,10617,6613,19716,40939,47216,32178,23228,18518,7587,
经营活动产生的现金流量净额(万元),146606,128197,85116,42411,43259,13975,41659,15608,-32392,36999,21701,27195,47641,
现金及现金等价物净增加额(万元),-564,10864,57636,8302,-2472,-29760,-1929,-54713,-66645,131625,6790,-3451,24938,
总资产(万元),1204934,1134682,1108920,991370,973071,940175,998496,825182,626989,560874,343986,345494,269534,
流动资产(万元),616554,631237,582059,436918,443631,429316,497780,453579,420783,408463,221243,239954,214188,
总负债(万元),584098,563429,607770,618020,562792,545848,630585,475595,321763,301830,225659,242147,189807,
流动负债(万元),439927,354884,432435,368184,345709,339241,420947,360471,250658,249768,176887,203549,174919,
股东权益不含少数股东权益(万元),577996,530786,463401,337896,367600,353896,326904,315032,280592,239610,97617,84507,62549,
净资产收益率加权(%),11.46,14.93,9.13,-8.02,4,3.93,7.26,15.31,19.17,21.88,28.75,30.02,22.04,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
