报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.63,0.44,0.39,0.42,0.32,0.01,0.1,0.14,
每股净资产(元),3.58,3.14,2.8,2.57,1.85,--,1.25,1.16,
每股经营活动产生的现金流量净额(元),1.01,--,--,--,--,--,0.5,0.49,
主营业务收入(万元),24096,19229,19395,18779,17360,11601,9827,10514,
主营业务利润(万元),14149,10689,9841,10368,7522,3054,3621,4793,
营业利润(万元),9605,7074,5950,5123,2647,-603,1018,1794,
投资收益(万元),1,1,-3,--,--,--,--,--,
营业外收支净额(万元),-255,-458,-10,-3,921,1069,355,9,
利润总额(万元),9350,6617,5940,5121,3568,467,1373,1803,
净利润(万元),7355,5099,4509,3945,2907,133,880,1250,
净利润(扣除非经常性损益后)(万元),7296,5316,4348,3970,2124,--,555,1245,
经营活动产生的现金流量净额(万元),11753,9818,8304,7950,5305,4772,4602,4507,
现金及现金等价物净增加额(万元),469,1193,-8637,14307,-907,-1984,1126,908,
总资产(万元),52320,49966,49020,56657,42940,45024,49992,39198,
流动资产(万元),9880,9162,7177,16377,1952,2998,4954,4778,
总负债(万元),10685,12782,15812,26136,25386,33084,38137,28222,
流动负债(万元),5571,5491,6277,22700,13835,15615,21867,12879,
股东权益不含少数股东权益(万元),41610,36502,32565,29931,16898,11556,11422,10542,
净资产收益率加权(%),18.57,14.81,14.6,20.5,18.82,1.16,8.01,12.61,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
