报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),1.56,1.18,0.3,0.11,-0.6,0.29,0.32,0.37,2.91,1.39,1.12,0.62,0.5,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,11.63,9.29,4.45,2.72,3.2,2.66,2.58,2.69,5.38,4.34,3.96,4.64,3.46,3.1,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,2.92,2.79,2.03,2.01,3.29,2.06,1.53,1.31,1.03,1.28,1.02,0.59,0.51,0.05,--,--,--,
主营业务收入(万元),968822,793178,707978,500126,504665,654357,791094,769918,827779,570478,411512,349397,251782,194536,182956,176627,145491,88486,70762,40374,30621,18939,12494,13572,12274,
主营业务利润(万元),339202,271821,194411,101239,63196,130391,937141,151050,265490,161160,105995,90170,61560,45016,37996,41001,41080,28997,24349,12847,10293,7022,2830,2879,2529,
营业利润(万元),239709,165815,40336,-11154,-85519,-18802,10741,14956,135928,57815,31910,17519,9185,-2027,-6548,-4667,5188,2747,4618,4676,4327,4392,2892,2887,2535,
投资收益(万元),599,362,-151,11054,4961,266,5614,1161,6405,3800,1054,1733,4192,3342,1480,-26464,1228,1847,3025,748,260,0,0,0,0,
营业外收支净额(万元),-6969,459,-3290,16684,18805,50298,34002,34795,29409,19838,16534,16162,12289,-465,30,-569,-481,0,0,296,318,0,0,0,0,
利润总额(万元),232739,166275,37045,5530,-66714,31496,44744,49751,165337,77653,48444,33681,21474,11615,4462,-21388,15763,10897,10122,7621,5737,5409,2892,2887,2547,
净利润(万元),163576,124112,26493,9979,-52505,25248,28020,31871,113022,50542,35103,19200,10480,4425,915,-24963,10114,6752,6025,6783,4708,4120,2040,2168,1910,
净利润(扣除非经常性损益后)(万元),144128,110998,25712,-10460,-63744,2353,17160,27144,110646,49200,31489,22543,10741,3091,692,-24261,10124,0,0,6487,4391,--,--,--,--,
经营活动产生的现金流量净额(万元),267607,171969,116722,57893,23678,42698,21184,32857,113648,108486,63223,62638,68441,42826,31724,27245,17784,22224,17694,8562,6565,624,--,--,--,
现金及现金等价物净增加额(万元),-52607,-28545,55801,-51276,32867,22784,8666,-69649,51763,23207,22022,-15697,23620,9638,4742,-3090,7188,-2143,12167,5230,-4243,7960,--,--,--,
总资产(万元),1527824,1703350,1846640,1847211,2053037,2162763,2132890,1915653,1533955,1036019,787127,600623,444371,428184,444022,471956,407315,304272,264944,154226,81550,69280,16177,16239,14315,
流动资产(万元),303566,375513,439560,344040,442720,476630,447797,382986,419231,261286,200258,155384,136792,137907,147042,168817,149931,0,0,0,0,30388,8858,9065,6634,
总负债(万元),514008,785403,1019989,1169173,1309622,1354307,1340516,1156122,993784,608515,596950,471960,327060,321036,338680,360932,270100,199063,174389,68828,35663,29150,7581,7643,5719,
流动负债(万元),340099,641365,787276,854028,1085237,951797,836532,682832,596557,277389,368392,295945,170734,165629,316851,334696,210458,0,0,0,0,21690,6961,7543,5619,
股东权益不含少数股东权益(万元),964676,840020,735106,586349,643656,683845,667330,646474,452468,361468,138698,84999,66540,55312,53686,56024,93208,75167,68638,66962,44838,40129,8596,8596,8596,
净资产收益率加权(%),18.19,15.71,4.33,1.61,-7.8,3.76,4.26,5.11,27.59,19.06,34.69,25.22,17.14,8.32,1.71,-35.46,11.51,9.38,8.7,13.09,0,25.84,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
