报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),-0.08,0.11,0.07,0.04,0.19,0.26,0.46,0.48,1.36,1.15,0.71,0.14,
每股净资产(元),--,--,--,--,--,2.93,5.49,5.13,10.43,4.03,2.86,2.39,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.17,-0.19,0.38,-0.62,1,0.61,0.86,
主营业务收入(万元),223409,223937,173020,92968,94217,101901,82747,66094,71588,59227,37975,24290,
主营业务利润(万元),32165,47254,33828,21261,22774,25465,20450,17075,21316,16850,10059,5684,
营业利润(万元),-11126,17461,12228,5600,8629,12468,10813,10435,14024,10560,5660,1222,
投资收益(万元),1204,963,1289,1161,13,--,-0,--,--,0,7,5,
营业外收支净额(万元),240,1088,131,424,845,89,-125,1225,572,394,672,139,
利润总额(万元),-10885,18549,12359,6024,9474,12556,10688,11660,14597,10954,6332,1361,
净利润(万元),-9777,14517,8336,4586,7531,10267,9071,9531,10900,7717,4726,919,
净利润(扣除非经常性损益后)(万元),-11143,12383,6262,3260,6640,10173,9177,8508,10429,7458,3299,982,
经营活动产生的现金流量净额(万元),6459,-20892,-6316,7868,12907,6872,-3665,7477,-5566,6670,4043,5747,
现金及现金等价物净增加额(万元),-14225,15055,2602,-6106,9009,-12887,-17187,-1281,40597,1613,1118,-654,
总资产(万元),357083,370140,297237,273715,231674,167048,157634,138865,135239,66255,57431,32656,
流动资产(万元),244536,253771,199663,186527,174748,115899,120547,109691,113175,50664,42119,20615,
总负债(万元),147941,147868,90037,70831,46044,46072,44215,31814,35870,34852,35278,16654,
流动负债(万元),131264,133091,82102,63427,42060,43758,42545,30266,33310,33229,34763,16654,
股东权益不含少数股东权益(万元),188389,200708,187756,180703,180189,115906,108610,101519,93786,26960,19131,16002,
净资产收益率加权(%),-4.99,7.45,4.51,2.51,6.09,9.15,8.63,9.78,16.76,33.42,25.73,5.28,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
