报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,
基本每股收益(元),0.14,-2.36,0.1,0.09,0.1,0.15,0.25,0.36,0.39,0.59,0.48,0.46,1,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,3.53,5.03,5.1,3.32,6.92,5.58,5.55,5.53,2.1,1.5,1.01,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.53,0.78,0.4,0.44,0.97,0.47,0.55,0.08,0.57,0,0,
主营业务收入(万元),910434,940053,827876,583019,585886,660145,646670,757931,503746,369522,228174,259101,240039,27684,22828,20053,23537,17528,12102,
主营业务利润(万元),158919,107063,136371,103945,104629,108843,97529,131157,103555,77512,46859,46023,40671,6648,6915,6889,8973,6928,4631,
营业利润(万元),12776,-205228,6571,2447,-752,10654,21482,38261,25741,31204,22198,21386,25568,1370,3061,2727,4067,3249,1777,
投资收益(万元),-59638,841,954,10340,1501,1912,27921,296,449,449,197,170,1087,436,-2,-2,-2,-2,-3,
营业外收支净额(万元),-1943,-17270,6176,11930,9010,5065,2814,6225,5486,1954,1635,1056,211,-85,34,-40,2,0,0,
利润总额(万元),10834,-222499,12746,14377,8258,15719,24296,44486,31227,33157,23833,22443,25779,1821,3207,2887,4101,3300,1928,
净利润(万元),13132,-216698,9229,8301,8213,12622,21200,29752,29301,21819,16038,14985,16164,926,1990,1835,2581,2145,1256,
净利润(扣除非经常性损益后)(万元),3018,-210056,747,-6448,703,7497,-5381,25080,25233,20258,14937,14012,2279,805,1892,1728,0,0,0,
经营活动产生的现金流量净额(万元),63376,17067,27727,11372,26944,14182,-49233,27076,44250,29172,15080,14083,15583,3371,3926,561,2457,0,0,
现金及现金等价物净增加额(万元),10903,-6703,-2641,37298,25263,-55824,23718,-61470,17387,65221,19432,5093,3823,-2102,-7104,21208,252,0,0,
总资产(万元),869833,1027995,1386975,1177879,1035268,1039756,949659,1010994,752252,522171,311814,209146,218314,60568,60579,50152,21773,18327,15556,
流动资产(万元),593288,544847,745466,550699,382890,445110,545150,396550,432763,333516,193513,131770,127526,32224,32873,39595,15978,13193,10994,
总负债(万元),648877,815738,942424,725332,662208,686677,607611,662756,443455,325096,103379,91053,92774,17839,20046,9400,11466,11068,10715,
流动负债(万元),446459,531729,791007,666680,498594,498972,417092,484795,373979,251895,93623,90428,83463,12819,17616,9400,9466,7068,10715,
股东权益不含少数股东权益(万元),238137,221268,439588,445198,370388,349433,338285,321438,295834,187246,189814,107049,111576,39724,39510,39398,9072,6491,4346,
净资产收益率加权(%),5.72,-65.58,2.09,1.93,2.28,3.67,6.44,9.64,14.21,11.53,11.73,12.59,23.18,2.34,5.04,7.35,33.17,39.58,33.78,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
