报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.3,0.38,0.42,0.44,0.38,0.41,0.36,
每股净资产(元),--,--,--,2.62,2.33,2.05,1.73,
每股经营活动产生的现金流量净额(元),--,--,--,0.21,0.27,0.32,0.52,
主营业务收入(万元),61434,56013,48613,44286,43238,42712,42489,
主营业务利润(万元),11991,12291,10568,10730,9830,8688,8189,
营业利润(万元),5647,6826,6154,6012,5066,4557,4155,
投资收益(万元),532,620,284,-24,-14,12,0,
营业外收支净额(万元),-102,186,138,207,7,196,47,
利润总额(万元),5545,7012,6292,6219,5073,4753,4202,
净利润(万元),4828,6018,5365,5221,4327,4138,3624,
净利润(扣除非经常性损益后)(万元),4411,5250,5136,5031,4296,3961,3585,
经营活动产生的现金流量净额(万元),4286,2327,5669,2505,3290,3173,5176,
现金及现金等价物净增加额(万元),3820,5612,9995,302,-990,78,2600,
总资产(万元),101076,94120,86368,55299,54901,48350,38567,
流动资产(万元),71066,70188,63317,36088,36776,34544,31877,
总负债(万元),32481,28465,25132,23782,26786,27869,21223,
流动负债(万元),32278,28342,25061,23704,26786,27869,21223,
股东权益不含少数股东权益(万元),68373,65411,61009,31429,28009,20481,17343,
净资产收益率加权(%),7.23,9.54,14.21,17.71,18.58,22.28,22.96,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
