报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,
基本每股收益(元),2.85,2.21,0.67,0.55,0.72,0.76,0.66,0.57,0.48,0.53,
每股净资产(元),--,9.88,7.77,7.39,6.33,5.01,3.65,2.84,2.07,1.65,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,0.66,0.14,0.27,
主营业务收入(万元),133487,100516,74286,69290,57935,45759,32390,23528,16706,12126,
主营业务利润(万元),48913,37645,17141,14088,13840,11245,39603,4994,3955,2959,
营业利润(万元),29925,21668,6526,4885,5046,4919,3887,3156,2550,1880,
投资收益(万元),-36,-205,--,--,95,57,--,28,-5,-8,
营业外收支净额(万元),-192,-338,-60,297,887,395,422,223,175,29,
利润总额(万元),29734,21330,6466,5182,5933,5315,4309,3379,2725,1909,
净利润(万元),24869,17593,5318,4332,5074,4485,3606,2936,2377,1636,
净利润(扣除非经常性损益后)(万元),24055,18554,4432,4079,4239,4101,3247,2739,--,--,
经营活动产生的现金流量净额(万元),15390,12682,8531,2054,3631,4390,2598,3498,713,764,
现金及现金等价物净增加额(万元),15232,6490,1512,1471,161,-1604,2676,815,678,966,
总资产(万元),297363,123165,105246,98873,81186,73796,40599,27884,16352,6902,
流动资产(万元),221356,62216,48041,50229,39637,32981,21963,13935,10435,5440,
总负债(万元),30522,44638,43517,40147,34482,41026,20417,12773,5979,2156,
流动负债(万元),28216,38644,36467,39045,33397,40984,20319,12773,5916,2018,
股东权益不含少数股东权益(万元),266726,78527,61729,58726,46704,31907,20182,15111,10373,4747,
净资产收益率加权(%),21.6,25.21,9,7.81,12.33,17.71,20.29,22.17,26.66,37.27,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
