报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,
基本每股收益(元),0.09,0.11,0.11,0.24,0.19,0.2,0.2,0.18,0.16,0.16,0.2,0.28,0.35,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,2.93,3.38,3.53,3.08,3.65,3.55,4.38,4.52,2.23,1.67,1.66,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.49,-0.43,0.43,0.24,0.11,-0.13,1.71,0,0.56,0.8,0,
主营业务收入(万元),117872,115271,118981,149677,143935,128702,116824,103390,93387,85221,76437,83862,77154,53899,64763,65608,59897,49091,66305,
主营业务利润(万元),27197,29164,28349,38304,35622,30487,27317,26082,25613,22825,17920,20562,15141,10523,9804,12309,11813,7456,12727,
营业利润(万元),4740,5199,4241,6881,5708,2428,1064,1671,2365,3213,2047,3051,4232,1637,274,4715,4412,3658,7822,
投资收益(万元),-435,-92,-1337,-467,-165,-378,--,-42,--,--,--,--,0,-33,-30,0,0,-5,44,
营业外收支净额(万元),-21,-36,-21,2833,2307,4130,4200,2580,2123,1208,1289,1692,--,-210,-66,-167,-37,0,0,
利润总额(万元),4719,5163,4219,9714,8015,6558,5265,4251,4488,4421,3336,4743,4675,2285,1349,4715,4375,3610,7843,
净利润(万元),3951,3921,3773,8171,6432,5756,4397,3864,3550,3263,3139,4205,4079,2107,1158,3752,3729,3610,6960,
净利润(扣除非经常性损益后)(万元),3333,2670,3378,7315,5668,4658,3710,3495,3163,2184,1978,3544,3585,2197,1136,3858,0,0,0,
经营活动产生的现金流量净额(万元),18054,9298,9515,16250,17849,17205,14844,11963,10774,-8576,8530,3731,1344,-1534,15504,35,3688,0,0,
现金及现金等价物净增加额(万元),49595,6829,-4089,6254,6084,15152,966,7294,5410,-14468,24416,2106,-9341,-6527,9137,7887,-1021,0,0,
总资产(万元),209778,164859,155153,159005,154638,157610,141939,132000,118335,103065,90983,65901,62310,59369,53965,60685,39084,31421,23968,
流动资产(万元),175009,127703,115746,122737,116800,118107,103102,100011,90044,79647,68356,43339,38530,40954,38953,47991,27558,20290,14462,
总负债(万元),69841,67195,60655,67086,72170,81923,70658,63660,53680,35083,20548,18622,19257,17503,14217,19651,24392,20459,16145,
流动负债(万元),63012,59986,54904,63028,63007,64837,55539,56191,49925,33100,19453,17767,18088,16463,13472,18661,20572,15259,15875,
股东权益不含少数股东权益(万元),139513,97273,94095,91135,82210,75979,71581,68049,64065,67108,70027,47214,43031,41921,39805,41034,14692,10962,7823,
净资产收益率加权(%),3.01,4.1,4.08,9.53,8.17,7.83,6.32,5.86,5.43,4.79,6.35,9.31,9.61,5.16,2.89,13.67,29.07,38.11,119.87,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
