报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,
基本每股收益(元),0.27,0.44,0.29,0.34,0.09,0.08,0.06,0.12,0.15,0.1,0.03,0.05,0.08,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,2.35,2.22,2.14,2.14,2.14,2.11,3.17,1.9,1.57,1.43,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.1,0.2,0.03,0.1,0.14,0.21,0.46,0.76,0.51,0,
主营业务收入(万元),73682,71772,67784,22274,15816,15027,16936,17040,16307,14988,13700,13368,14758,16237,20537,19524,16995,15661,
主营业务利润(万元),33903,33270,32001,10571,5786,5182,5736,7232,6985,6173,4884,5064,6579,8524,13400,12756,11116,10167,
营业利润(万元),20493,25517,17027,9544,1820,1588,1055,3420,4340,2971,739,1364,2909,4707,9144,8933,7716,7108,
投资收益(万元),2622,7828,2587,6063,1693,1749,1199,1620,2382,1572,-83,750,476,0,0,0,0,0,
营业外收支净额(万元),30,-315,222,237,492,825,832,269,-8,38,533,24,-2,3,-37,-1,-38,0,
利润总额(万元),20523,25202,17249,9781,2312,2414,1887,3688,4331,3008,1272,1388,2907,4710,9107,8932,7677,7104,
净利润(万元),13012,16401,10633,8461,2169,2045,1577,2885,3691,2450,730,1209,2057,3106,6026,5958,5126,4746,
净利润(扣除非经常性损益后)(万元),11351,11604,9996,3846,1800,1434,986,2681,3697,2421,326,1191,2058,3104,6051,0,0,0,
经营活动产生的现金流量净额(万元),31461,28797,25813,7619,4306,1913,2971,5004,2343,4932,756,2454,3439,5206,7018,8748,0,0,
现金及现金等价物净增加额(万元),24861,-7659,-24000,39814,2778,-784,-1121,1205,2180,-917,-586,2257,-16443,-2571,12342,2056,0,0,
总资产(万元),465707,469183,469061,469212,109042,105504,105168,104959,95974,90843,78678,63785,61098,57582,55111,31972,26517,22803,
流动资产(万元),60627,58316,64979,60962,15496,7614,8219,8948,8328,6614,7479,5288,4168,19783,24912,10394,8200,0,
总负债(万元),135221,150408,167854,180124,40147,39548,41027,42386,35979,34455,24589,9853,8352,5508,6437,10052,8404,6324,
流动负债(万元),47750,83880,62290,44316,31353,6181,7328,25714,16877,17953,10287,9853,8352,4725,6437,8052,8404,0,
股东权益不含少数股东权益(万元),267941,256641,241357,231469,66696,63519,61966,60028,57881,54682,52724,52732,52506,51834,48674,21920,18113,16479,
净资产收益率加权(%),4.96,6.58,4.5,10.91,3.37,3.26,2.59,4.89,6.55,4.43,1.34,2.29,3.96,6.18,13.32,28.25,26.92,28.25,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
