报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.09,0.11,-0.11,0.5,0.61,0.74,0.75,0.94,0.67,0.9,0.86,0.75,0.63,
每股净资产(元),--,--,--,--,--,--,--,--,7.42,12.32,2.64,1.96,1.22,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.36,-0.76,0.54,1.04,0.64,
主营业务收入(万元),1153569,1211475,1129520,1091502,962864,633759,559090,462665,371694,307863,205024,181473,152007,
主营业务利润(万元),167871,166568,131168,191212,167025,123274,100782,66839,40093,28068,21885,19820,14595,
营业利润(万元),26814,35257,-18233,85704,78483,62952,43477,27598,15138,9136,6902,6580,5347,
投资收益(万元),3424,10414,20517,5399,3692,1375,1051,1200,1074,475,385,878,356,
营业外收支净额(万元),1219,-1940,7997,2910,3173,160,2470,164,5,-1,164,--,--,
利润总额(万元),28033,33317,-10236,88613,81656,63112,45947,27762,15142,9135,7066,6508,5465,
净利润(万元),14949,18593,-18411,61125,54764,42515,28756,18091,9904,6777,5330,4608,3918,
净利润(扣除非经常性损益后)(万元),9817,12257,-37742,57246,52321,42336,26814,17801,9299,6776,5205,4659,2609,
经营活动产生的现金流量净额(万元),54484,54990,35274,59699,26543,13226,12111,4700,-5291,-6300,3318,6448,3976,
现金及现金等价物净增加额(万元),68344,-48805,-52601,96803,28452,-33831,4071,-7169,-8501,70685,2293,3719,5877,
总资产(万元),876043,922858,1003121,1046292,777978,485788,309051,264121,204761,173155,61647,52037,40489,
流动资产(万元),510016,524435,592333,710354,525434,374604,263385,229206,189995,167468,56083,46376,35109,
总负债(万元),314636,370971,470989,499018,510730,273909,139933,124195,87649,71198,44965,39588,32542,
流动负债(万元),295300,322149,385416,394916,404225,216170,126591,112549,84417,71198,44965,39588,32542,
股东权益不含少数股东权益(万元),537897,520850,501402,519147,243661,192754,149576,125495,110049,101463,16324,12117,7523,
净资产收益率加权(%),2.83,3.69,-3.65,17.77,23.9,26.46,20.95,15.37,9.37,9.44,38.23,46.89,69.65,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
