报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.73,0.03,0.37,0.28,0.28,0.6,0.48,0.47,0.52,0.56,0.46,0.31,
每股净资产(元),--,--,--,--,--,7.44,6.99,4.41,4.18,1.86,1.51,1.28,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.19,0.3,0.29,0.24,0.6,0.46,0.21,
主营业务收入(万元),64099,55963,47224,41384,36848,37617,20882,14335,15021,13146,9117,8215,
主营业务利润(万元),19709,17840,17609,16775,14149,15553,9805,7480,7435,6950,5157,4259,
营业利润(万元),26391,578,8373,5296,4481,7624,2983,2381,3733,3774,2906,1976,
投资收益(万元),30415,-77,-464,153,-89,28,103,--,--,--,--,4,
营业外收支净额(万元),-82,-304,-7,668,368,304,2074,2020,702,291,5,16,
利润总额(万元),26309,274,8367,5964,4850,7929,5058,4401,4436,4065,2910,1992,
净利润(万元),21032,666,7241,5440,4233,6821,4416,3978,3903,3591,2904,1957,
净利润(扣除非经常性损益后)(万元),-5327,137,6726,4818,4059,6615,4477,3912,3709,3337,2888,1875,
经营活动产生的现金流量净额(万元),3762,6570,9691,6848,-548,2229,3380,2483,2045,3826,2958,1305,
现金及现金等价物净增加额(万元),13333,-1385,2000,6086,-6063,-10100,-4179,-890,19639,2261,-188,1216,
总资产(万元),186194,153310,151382,147010,115996,104087,95199,43304,40250,16140,13405,12049,
流动资产(万元),87773,81216,86084,82755,51066,51914,54405,34010,32862,11035,8142,7377,
总负债(万元),34641,25717,20988,21442,25290,18370,15653,5721,4655,4309,3664,3754,
流动负债(万元),30491,25018,19859,19619,23798,16560,13624,2544,2568,3670,3664,3754,
股东权益不含少数股东权益(万元),150237,127524,130423,124188,90568,85491,79547,37583,35594,11831,9628,8172,
净资产收益率加权(%),15.33,0.51,5.69,4.74,4.81,8.32,9.04,10.88,16.74,37.58,32.91,30.35,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
