报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
基本每股收益(元),0.04,0.12,-0.88,0.04,0.06,-0.47,0.05,0.05,0.02,0.01,0.3,0.58,0.62,0.29,0.15,
每股净资产(元),--,--,--,--,--,--,--,--,2.43,2.39,3.11,4.52,1.98,1.3,1.02,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.42,0.21,-0.39,0.01,0.62,0.06,0.13,
主营业务收入(万元),43275,71487,65842,43055,43568,44962,55441,57495,62781,64379,53676,48802,40238,30848,24955,
主营业务利润(万元),13458,18022,15607,12908,11088,4501,10513,9725,11871,10435,11594,9736,8290,5518,3639,
营业利润(万元),-20211,4738,-37356,1568,2586,-9370,991,1184,785,-371,4797,5530,5309,2575,1257,
投资收益(万元),2772,3400,2446,157,-68,293,285,520,476,269,--,--,0,5,--,
营业外收支净额(万元),22776,2829,737,385,161,-293,276,623,396,1564,516,469,11,44,10,
利润总额(万元),2565,7566,-36619,1953,2748,-9662,1267,1807,1181,1193,5313,5999,5319,2619,1267,
净利润(万元),2406,7553,-36507,1166,1088,-9205,960,1022,417,255,4467,5278,4517,2078,1054,
净利润(扣除非经常性损益后)(万元),-23977,1356,-41113,469,694,-8451,400,69,-323,-2442,3759,4645,3639,1705,956,
经营活动产生的现金流量净额(万元),6996,-13774,-2231,7453,11528,4619,5125,10677,8202,4107,-5812,62,4631,435,977,
现金及现金等价物净增加额(万元),5004,-13044,-25725,45016,3628,-2563,1225,-5594,-3109,-11568,2620,20865,4183,-2376,748,
总资产(万元),225556,252186,249586,267841,64747,61598,78218,72351,81667,86944,80781,60786,29577,22563,20430,
流动资产(万元),125837,125977,123905,123151,22503,28524,38487,40105,54138,54404,62557,51140,24022,16277,14956,
总负债(万元),39936,33543,27263,29084,25542,25663,31491,22544,32949,36322,31004,15390,14712,12814,12779,
流动负债(万元),39908,32425,27248,29074,25470,24891,29202,21353,32467,36048,30719,15105,14251,12025,12355,
股东权益不含少数股东权益(万元),185627,218664,221770,237392,36391,35303,44507,48469,47405,46692,46676,45187,14865,9461,7383,
净资产收益率加权(%),1.08,3.42,-16.63,1.48,3.04,-23.07,2.07,2.13,0.88,0.55,9.79,16.44,36.62,24.67,15.37,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
