报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,
基本每股收益(元),0.04,0.26,0.14,0.25,0.16,0.06,0.49,0.12,0.59,0.59,0.42,0.28,0,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,6.54,1.85,1.01,0.8,0,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.42,0.47,0.05,0.36,0,--,--,--,--,
主营业务收入(万元),784354,693453,535153,343550,247756,194938,168340,113537,124345,99436,71772,60527,42494,44835,36541,16010,11957,
主营业务利润(万元),300321,322707,246693,164727,120883,81584,78594,55232,55365,44176,33238,31041,19589,14743,10658,6358,4150,
营业利润(万元),1369,51123,24400,28294,19458,-2337,8199,-1741,12123,10007,5452,4795,3673,2127,4761,2751,1533,
投资收益(万元),16,--,911,314,116,275,771,--,--,0,0,22,0,--,--,--,--,
营业外收支净额(万元),-219,611,261,13662,9729,8313,7523,5185,4291,2940,2001,508,360,74,89,60,6,
利润总额(万元),1150,51734,24662,41956,29188,5976,15721,3444,16414,12946,7453,5303,4032,2283,4985,2875,1539,
净利润(万元),8081,47681,24486,40183,25318,4327,13507,3333,14602,11619,6733,4410,3437,2112,4611,2659,1424,
净利润(扣除非经常性损益后)(万元),-4978,31379,16095,35252,17182,1003,10347,628,12989,10528,5841,4028,0,--,--,--,--,
经营活动产生的现金流量净额(万元),107875,9683,-24326,-40388,5962,11604,7660,-3757,-11772,9700,1131,7496,2624,701,432,4482,--,
现金及现金等价物净增加额(万元),27175,-63554,102680,-4039,4482,-4635,3274,-40027,65562,5369,3727,4106,4073,72,-1369,2965,--,
总资产(万元),1648217,1497004,1392983,680814,460371,364173,342300,254703,229344,112152,78669,55139,42806,51604,39067,22188,13743,
流动资产(万元),864819,753374,705633,405500,285469,215864,208570,159703,192513,87455,58881,41604,30390,38177,27574,12780,7872,
总负债(万元),1034361,885525,827940,205321,231695,163838,144508,68975,47661,73719,57650,38528,34306,31273,20611,11302,5517,
流动负债(万元),787152,643171,616885,154428,195468,118220,126611,55897,44629,66752,47816,30812,22347,25772,17111,6685,3385,
股东权益不含少数股东权益(万元),613831,611454,565018,475493,228676,200335,197792,185729,181683,38432,21019,16533,8500,20331,18456,10886,8226,
净资产收益率加权(%),1.32,8.1,5,12.83,11.88,2.18,7.06,1.83,12.09,37.27,35.87,30.95,0,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
