报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),1.78,0.33,0.37,0.34,0.2,0.36,0.16,0.61,0.25,
每股净资产(元),--,--,--,2.25,1.98,3.73,2.44,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,0.15,0.07,0.25,0.13,--,--,
主营业务收入(万元),296833,101548,78294,74951,61772,56583,50349,38533,24840,
主营业务利润(万元),130576,49971,39015,35795,30056,34722,31385,22665,13696,
营业利润(万元),113446,12552,14861,11292,4713,11628,1790,6238,2290,
投资收益(万元),53437,5803,3818,1164,0,--,--,--,--,
营业外收支净额(万元),30,-22,-15,2646,3160,2784,2088,398,173,
利润总额(万元),113476,12530,14846,13939,7873,14412,3877,6636,2462,
净利润(万元),102017,13368,13914,12209,7171,12681,2537,5294,2026,
净利润(扣除非经常性损益后)(万元),40566,11018,11071,9706,4831,10847,9621,5160,1999,
经营活动产生的现金流量净额(万元),55983,264,4871,5366,2586,4677,2228,-2799,1638,
现金及现金等价物净增加额(万元),55019,13990,40165,509,-7854,22830,12003,-14,2699,
总资产(万元),592567,212846,164503,111300,96643,96967,58574,33709,18817,
流动资产(万元),436819,189835,152018,102949,88015,91033,53584,28404,18086,
总负债(万元),118489,77309,47402,30339,25246,27389,17640,13253,10575,
流动负债(万元),114865,75739,45069,27830,23310,25794,17030,13253,10575,
股东权益不含少数股东权益(万元),463902,136034,115828,80960,71397,69578,40934,20456,8243,
净资产收益率加权(%),31.16,10.72,14.7,15.4,9.35,23.19,11.68,48.86,33.97,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
