报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),1.15,0.84,1.26,1.21,0.97,0.96,0.64,0.44,
每股净资产(元),--,--,--,5.53,4.62,3.82,3.06,2.73,
每股经营活动产生的现金流量净额(元),--,--,--,1.18,0.95,0.75,1.06,-0.02,
主营业务收入(万元),70820,40918,35480,29449,25333,27079,21697,14977,
主营业务利润(万元),21600,15814,14417,11873,10032,10296,8066,5030,
营业利润(万元),22727,11447,10154,8124,6491,6344,4189,2784,
投资收益(万元),-8,236,0,--,--,--,--,--,
营业外收支净额(万元),-69,41,363,514,327,356,255,48,
利润总额(万元),22658,11488,10516,8638,6818,6700,4444,2832,
净利润(万元),13140,9541,8940,7374,5839,5393,3602,2436,
净利润(扣除非经常性损益后)(万元),12818,9379,8481,7256,5739,5159,4162,2395,
经营活动产生的现金流量净额(万元),18949,9339,7817,7147,5776,4204,5961,-86,
现金及现金等价物净增加额(万元),11992,-4268,16002,3574,838,-480,-491,-2073,
总资产(万元),136544,89628,81239,42118,38093,32967,31837,20038,
流动资产(万元),92520,62468,55341,30655,25368,20218,20058,15003,
总负债(万元),25826,15493,14781,8500,10025,9058,12492,4759,
流动负债(万元),23807,15438,14707,8500,10025,9058,12492,4759,
股东权益不含少数股东权益(万元),83927,71039,63564,33618,28068,21398,17124,15278,
净资产收益率加权(%),17,14.27,17.26,24.34,23.38,28,22.24,15.94,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
