报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,1989-12-31,
基本每股收益(元),0.66,0.44,0.41,0.71,-1,-0.12,0.63,0.09,-0.11,-0.03,0.02,0.16,0.42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,-1.52,-1.41,-1.39,-1.4,-1.57,-1.98,-2.22,-3.11,-3.19,-3.22,0.09,1.94,2.31,2.62,2.35,3.32,3.18,3.72,4.12,4.05,3.8,1.07,1,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.05,-0.04,-0.03,-0,-0.01,0.03,0,0.36,-0.06,-0.01,0.23,-0.98,-1.22,-0.05,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),286950,208083,110066,63071,3768,4880,4656,348,0,0,42,522,662,1148,1258,10732,850,3337,7257,22597,33196,16167,10806,9268,5785,6969,5395,1185,1814,669,6,
主营业务利润(万元),144227,101880,64076,42272,790,697,1770,16,0,0,39,493,412,360,150,2263,-64,284,1443,2589,5096,3487,2441,2089,108,2029,1519,175,347,74,0,
营业利润(万元),105978,74952,45895,28220,-23323,-1757,1152,-644,-901,595,-717,-1513,-8965,3682,753,-9709,32961,-37254,-35870,118,2477,2879,3704,2113,852,0,1601,176,347,75,7,
投资收益(万元),2678,2214,2053,962,-87,--,--,480,--,2290,0,3,497,0,-539,540,261,0,-158,496,54,845,388,1230,0,286,0,592,0,0,0,
营业外收支净额(万元),218,-366,-484,-334,123,-688,11499,2408,-1230,-1119,1033,4763,--,-3211,-20,9619,-32962,-28189,11,-51,-1,0,0,0,0,-8,0,0,--,0,0,
利润总额(万元),106196,74585,45410,27887,-23199,-2445,12652,1764,-2131,-524,316,3250,8126,471,194,450,260,-65443,-36016,562,3310,4295,4085,3312,2520,2519,1602,940,402,90,-4,
净利润(万元),81861,55078,34857,24687,-19472,-2360,12311,1764,-2131,-524,316,3172,8120,469,193,459,257,-65440,-36026,404,2713,3762,3689,2822,2183,2146,1362,799,406,123,10,
净利润(扣除非经常性损益后)(万元),85451,59115,39941,27902,-19619,-2030,-1252,-644,-901,15,-907,-1804,-9464,-1181,-1473,-9701,-3653,-65440,-35877,404,2713,--,--,--,--,--,0,--,--,--,--,
经营活动产生的现金流量净额(万元),146832,56337,7057,4081,-1157,3758,-588,-793,-907,-867,-587,-49,-142,621,39,7101,-1085,-146,4390,-19101,-19837,-651,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),46639,142856,38406,31783,735,2036,-825,136,-212,168,-1236,-128,232,717,-17,-10977,11141,-870,277,-10354,-4124,7644,--,--,--,--,--,--,--,--,--,
总资产(万元),1607686,1316513,942686,647917,25837,40079,37143,3988,3355,3603,496,1594,3472,12664,6356,12334,32720,17380,70607,114618,99016,72721,60412,48118,37849,28992,23370,15816,10054,2438,970,
流动资产(万元),993336,728259,359069,95358,11236,8886,10963,3750,3086,3299,162,1340,2896,11464,5156,10623,29345,--,0,0,0,63385,50883,41943,33897,25943,21040,15089,9605,2312,747,
总负债(万元),931568,667351,358098,227751,40004,31021,31390,31887,33018,31135,27505,28918,33909,51221,49494,72734,94680,80007,68842,76695,61482,37171,28621,20027,13415,5205,6890,7714,2452,1692,--,
流动负债(万元),657931,385263,159519,48778,33638,24655,24582,10527,7283,4614,3488,4872,5251,51221,49494,72734,94680,--,0,0,0,37171,28347,19579,12793,4409,5790,7714,2452,1692,270,
股东权益不含少数股东权益(万元),646787,638008,581721,420166,-15183,4272,860,-27899,-29663,-27532,-27008,-27324,-30497,-38617,-43196,-60456,-62025,-62692,1696,37857,37453,35461,31699,28011,24433,23786,16480,8102,7602,746,699,
净资产收益率加权(%),11.96,9.03,6.64,6.06,--,--,--,--,--,--,--,--,0,0,0,0,0,0,-2124.26,1.07,7.24,11.2,--,0,0,0,0,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
