报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
基本每股收益(元),0.7,0.66,0.66,0.33,0.59,0.22,0.21,0.4,0.35,0.18,0.17,0.15,0.26,0.2,0.13,0.1,
每股净资产(元),--,--,--,--,--,--,--,--,3.2,2.77,2.58,2.41,1.26,1,1.03,0.9,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-1.15,-2.55,-2.06,0.6,1.06,0.85,0.82,-0.49,
主营业务收入(万元),4618762,4894286,3267828,1997503,1719598,1331426,939755,545072,348044,226024,237975,165301,131017,136265,122895,95203,
主营业务利润(万元),237298,235674,209688,130088,98949,61186,33362,32531,22926,12260,9563,6253,6367,5201,3469,3170,
营业利润(万元),137717,125106,137003,58672,49187,18226,15347,9560,8234,4585,2565,3678,4660,3380,2146,1613,
投资收益(万元),6017,10469,14325,855,284,1873,4229,831,-559,65,-265,28,--,0,--,--,
营业外收支净额(万元),6297,12982,1064,2184,1252,-7,201,2250,2474,788,1532,209,0,0,13,10,
利润总额(万元),144014,138088,138068,60856,50439,18219,15549,11810,10708,5373,4097,3887,4660,3396,2159,1623,
净利润(万元),110400,107844,106298,46988,41114,13747,12504,9180,7893,4061,3842,3265,4308,3394,2159,1623,
净利润(扣除非经常性损益后)(万元),89264,86520,90362,41247,40175,12252,12359,7435,6012,3573,2501,3079,4307,2719,1619,1359,
经营活动产生的现金流量净额(万元),117795,240270,214033,97351,46926,-35959,101518,46994,-25948,-56540,-45300,13295,17550,14063,13596,-8063,
现金及现金等价物净增加额(万元),60998,329085,131000,-73647,26172,20903,59368,44155,71662,-17167,1759,18687,9958,568,237,716,
总资产(万元),2808144,2678688,2239442,2028227,1489706,1129914,769647,486117,385506,200084,143074,122768,77518,62074,66936,55036,
流动资产(万元),1683380,1662923,1263748,1072283,651162,604888,477716,329178,305160,135178,98027,79987,50861,41812,44669,30580,
总负债(万元),1874106,1836526,1473834,1364522,1165679,796821,570286,322766,298758,138190,85286,67591,55543,45434,49783,40036,
流动负债(万元),1618738,1375228,868140,781157,751675,542354,469036,316222,292505,134777,85286,65591,49543,45434,49783,40036,
股东权益不含少数股东权益(万元),932686,838856,762353,662625,322954,288087,154123,139935,72068,61482,57342,53395,20948,16640,17153,15000,
净资产收益率加权(%),12.46,13.2,14.93,11.16,13.44,6.22,8.51,10.31,11.81,6.83,6.97,6.91,22.92,18.01,13.42,11.44,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
