报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),1.27,0.01,0.06,0.05,-0.83,0.12,-1.93,-1.43,0.03,0.7,0.63,0.58,0.56,
每股净资产(元),--,--,--,--,--,--,--,--,5.59,7.74,2.46,1.83,1.83,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-2.24,-0.79,0.13,0.45,0.76,
主营业务收入(万元),2115548,35352,35691,32276,32232,63038,66419,49332,99939,109438,100372,81043,49648,
主营业务利润(万元),436113,6307,7574,7915,3141,10417,5321,1623,23271,30414,26764,17964,10514,
营业利润(万元),166872,311,1336,1782,-30588,-2080,-43414,-34940,2218,11326,8854,6799,3549,
投资收益(万元),-11578,1863,2312,2563,140,5211,307,-379,-27,--,0,62,0,
营业外收支净额(万元),-5740,-264,494,229,-1726,3290,-105,1027,1574,206,435,--,--,
利润总额(万元),161132,48,1831,2011,-32314,1209,-43518,-33913,3791,11532,9290,7158,3549,
净利润(万元),125196,492,2217,2011,-32189,2630,-42920,-31800,753,9901,8112,5875,2097,
净利润(扣除非经常性损益后)(万元),128262,-3231,-825,-1055,-31180,-5944,-42777,-32487,-564,9698,--,--,--,
经营活动产生的现金流量净额(万元),369053,-961,-3140,-502,-7271,-17138,22576,-8627,-49809,-13514,1650,5703,2271,
现金及现金等价物净增加额(万元),122933,-15665,-2608,-15695,-13676,49299,-2513,-15773,-66579,66368,3586,13795,2900,
总资产(万元),2852761,148513,143145,134211,135284,174988,162331,235273,222156,212422,126024,87738,45143,
流动资产(万元),1483154,79607,99741,92073,90906,126376,93948,146020,173720,193258,112223,80816,41266,
总负债(万元),2023283,21379,17190,10572,13822,23567,110611,139193,92366,79812,93906,64191,39339,
流动负债(万元),1509236,21015,17046,10250,13511,18853,103257,126475,90760,79324,88406,64125,39339,
股东权益不含少数股东权益(万元),798939,127134,125955,123638,121462,151900,50080,92707,124240,132364,31542,23430,5487,
净资产收益率加权(%),20,0.39,1.78,1.64,-23.72,5.1,-60.12,-29.32,0.59,14.76,25.72,36.73,49.37,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
