报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
基本每股收益(元),3.78,2.89,1.86,1.42,1.47,1.76,2.19,1.13,0.89,0.78,1.3,1.57,0.86,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,10.4,9.65,11.66,7.98,6.54,4.39,3.91,3.7,3.56,3.29,1.84,1.49,1.44,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,2.12,2.19,1.93,4.87,1.55,1.8,1.75,0.4,0.72,0.33,0.74,0.79,0,
主营业务收入(万元),870147,529073,443823,292897,311413,282049,300458,221866,184281,156692,154405,210305,141589,101724,75192,54983,37310,30098,26442,24530,21088,
主营业务利润(万元),248447,155116,120293,71623,81978,73153,68586,39253,29746,26820,32950,36555,21355,14777,12320,10904,8225,8102,7152,6102,6195,
营业利润(万元),139883,111607,70856,52844,56996,54491,46788,24003,16475,13302,17829,21994,10422,7378,6120,4976,4348,4141,3771,3717,3291,
投资收益(万元),5000,5456,7516,8082,4960,3270,1020,--,-2,-3,2,1,4,531,8,90,26,6,131,177,33,
营业外收支净额(万元),-43,-2755,-1133,118,-65,796,-1201,-821,1353,2757,1000,--,1434,-632,-289,-335,-311,-478,0,0,0,
利润总额(万元),139840,108852,69723,52962,56931,55287,45587,23182,17828,16060,18829,22399,11856,7297,5838,4756,4084,3669,3534,3571,3052,
净利润(万元),116977,89538,57495,43926,45509,45468,37758,19406,15371,13406,15760,18305,9240,4762,4294,3371,2722,2425,2368,2391,2588,
净利润(扣除非经常性损益后)(万元),88409,88762,51305,37054,41150,41727,37550,19823,13971,10874,14957,17929,7906,4712,4479,3514,2900,2631,0,0,0,
经营活动产生的现金流量净额(万元),137015,132022,113870,25691,24533,55355,71223,44518,36538,37692,25511,57004,18128,17977,17455,3953,7156,3323,5179,0,0,
现金及现金等价物净增加额(万元),54703,25500,46182,-39020,-57942,14959,6146,25935,25840,4308,42791,14540,11278,8555,8622,-7489,-4595,14197,668,0,0,
总资产(万元),963748,743861,708370,570048,465736,430777,364114,318536,269064,256239,255576,211423,161935,120194,100973,81133,66816,49326,24028,23948,18268,
流动资产(万元),614127,480296,411510,340265,247969,301575,287877,234725,175272,150609,140163,96719,91546,68069,50849,36037,36882,--,13405,0,0,
总负债(万元),458015,260997,303102,214028,142266,151263,128403,116342,84277,84336,95736,115429,83278,75554,61207,43552,30925,16406,11167,13489,8159,
流动负债(万元),446573,256965,300549,209109,140820,150624,127703,107880,83420,82188,94136,115429,76069,63892,48527,43438,30775,--,11167,0,0,
股东权益不含少数股东权益(万元),505437,462825,389639,344522,313659,271788,228948,196037,178985,166162,154476,93393,76550,43882,39080,37038,35642,32920,12861,10459,10109,
净资产收益率加权(%),25.53,21.08,15.71,13.44,15.52,18.21,17.81,10.37,8.92,8.37,13.86,21.49,15.8,11.49,11.35,9.31,7.72,9.28,20.34,21.15,28.24,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
