报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,
基本每股收益(元),4.12,1.17,0.82,1.17,2.25,1.99,1.27,1.1,0.93,--,
每股净资产(元),--,--,--,--,--,6.41,4.42,3.15,2.05,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,1.47,0.41,0.84,0.49,--,
主营业务收入(万元),90233,54142,46009,61027,73538,64166,43609,37335,30076,19094,
主营业务利润(万元),51577,32067,26285,37982,45373,39988,25208,21362,15797,11943,
营业利润(万元),82545,20967,14018,18199,27108,24607,14947,13912,10821,8322,
投资收益(万元),58246,7332,3595,1475,673,331,107,7,463,-176,
营业外收支净额(万元),-15,36,316,3328,3706,2639,2416,1417,2494,-25,
利润总额(万元),82530,21003,14335,21527,30815,27246,17362,15330,13314,9155,
净利润(万元),78934,18783,13110,18692,27037,23846,15291,13196,11200,7979,
净利润(扣除非经常性损益后)(万元),19420,13297,9407,16751,25989,23353,14766,12960,8953,--,
经营活动产生的现金流量净额(万元),54043,22782,14655,16010,21327,17596,4889,10101,5910,7372,
现金及现金等价物净增加额(万元),1676,13479,-728,-130196,121856,13555,224,802,-2825,6527,
总资产(万元),497299,286643,276373,266398,254408,94243,68476,46499,42234,66116,
流动资产(万元),208063,132590,227725,223671,225990,79676,55075,39161,35579,45359,
总负债(万元),55602,17059,19837,19389,25583,17303,15382,8696,17627,11196,
流动负债(万元),54197,16947,19611,19082,25127,16992,15182,8696,17627,11126,
股东权益不含少数股东权益(万元),437037,266774,254477,244810,228824,76940,53094,37803,24607,54919,
净资产收益率加权(%),19.78,7.2,5.26,7.9,30.54,36.68,33.65,42.29,28.48,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
