报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2013-12-31,
基本每股收益(元),0.72,0.62,0.59,0.55,--,--,
每股净资产(元),5.75,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,
主营业务收入(万元),27680900,26124500,22486400,18960200,18970700,14471400,
主营业务利润(万元),6238800,5348700,5111100,4292800,4059800,3467200,
营业利润(万元),6238800,5348700,5111100,4292800,4059800,3467200,
投资收益(万元),1302800,378000,2225500,1547900,118300,-38800,
营业外收支净额(万元),135700,--,--,--,79000,42200,
利润总额(万元),6374500,5348700,5111100,4292800,4138800,3509400,
净利润(万元),6093300,5231100,4768300,3980100,3485900,2966800,
净利润(扣除非经常性损益后)(万元),5971900,--,--,--,--,--,
经营活动产生的现金流量净额(万元),2644300,18450500,-36504900,22045700,93146300,1803700,
现金及现金等价物净增加额(万元),-12207200,7831700,13972500,-4498800,-31058000,-7055900,
总资产(万元),1021670600,951621100,901255100,826562200,729636400,557445100,
流动资产(万元),--,--,--,--,--,--,
总负债(万元),967182700,904089800,858119400,791873400,702553300,543340400,
流动负债(万元),--,--,--,--,--,--,
股东权益不含少数股东权益(万元),54386700,47440400,43097300,34653000,27044800,14104700,
净资产收益率加权(%),13.1,--,--,--,--,23.19,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
