报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.05,-3.96,0.2,0.34,0.49,0.86,0.99,1.01,0.82,0.63,0.35,
每股净资产(元),--,--,--,--,--,--,--,4.27,3.26,2.44,1.81,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,1.56,1.65,1.03,0.4,
主营业务收入(万元),17590,488858,692187,308804,176848,177444,61661,62477,48773,30934,25187,
主营业务利润(万元),1599,17921,46112,45781,28130,19421,18066,18068,14303,11758,7806,
营业利润(万元),3101,-183250,30264,33787,21356,13682,12646,12736,9843,8476,4743,
投资收益(万元),4842,15510,-1325,835,-196,1261,76,60,75,104,0,
营业外收支净额(万元),4096,-226567,213,86,213,1201,1091,1275,1570,231,153,
利润总额(万元),7197,-409817,30477,33873,21568,14884,13737,14010,11413,8707,4896,
净利润(万元),5607,-417940,21008,22217,16244,12639,11708,11945,9732,7405,4159,
净利润(扣除非经常性损益后)(万元),-9017,-209157,21429,22098,15562,10685,10798,10876,8397,7159,4029,
经营活动产生的现金流量净额(万元),1608,4498,-8723,-14547,30405,2865,10893,18426,19531,12129,4719,
现金及现金等价物净增加额(万元),-708,-12536,-3367,-3766,-3714,-16116,6872,18051,-1156,16135,609,
总资产(万元),67051,84230,360910,312079,280368,177450,101859,94034,76871,67218,71435,
流动资产(万元),25016,28748,238757,189386,154903,116773,49020,39445,21097,26684,30067,
总负债(万元),307653,330108,182788,147004,140827,53057,39688,43570,38352,38431,50053,
流动负债(万元),82301,101329,177884,137147,134533,43255,39323,26007,26190,33338,50005,
股东权益不含少数股东权益(万元),-247239,-252845,165095,153988,133341,124393,62172,50464,38519,28787,21382,
净资产收益率加权(%),0,--,13.17,15.48,11.5,10.93,20.79,26.85,28.92,29.52,21.55,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
