报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,
基本每股收益(元),0.67,0.55,0.96,0.76,0.49,0.15,0.4,-0.47,0.05,0.12,-0.33,0.13,-0.53,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,1.77,1.72,1.59,1.93,1.76,2.3,2.29,3.45,3.7,3.58,3.51,1.86,1.57,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.32,0.2,-0.68,0.16,-0.01,0.25,0.32,-0.28,0.13,-0.08,0.25,0.29,0,0,
主营业务收入(万元),162659,146203,124020,87518,58857,32651,8748,16093,40251,34461,37354,48294,37939,34658,27433,15091,15298,16238,16081,14730,13350,11985,
主营业务利润(万元),42826,38717,33869,26601,19596,7902,2131,372,890,896,2377,3306,2452,3581,-532,2076,4016,3854,3871,3821,3473,3180,
营业利润(万元),18459,15729,13657,8915,5751,1793,-3417,-4021,-1665,-414,-4692,-2497,-5194,-515,-9245,-1511,840,1389,1635,1503,1495,1195,
投资收益(万元),67,12,--,--,--,--,--,--,7,2293,-95,374,-1122,6,24,-18,392,0,0,43,0,0,
营业外收支净额(万元),-2533,-2253,-1551,1139,698,396,7162,253,2073,1412,2120,3201,--,297,-634,-75,-53,-8,-10,0,0,0,
利润总额(万元),15925,13477,12105,10054,6449,2189,3745,-3769,407,998,-2572,703,-4641,67,-9825,-1569,1230,1382,1625,1836,1455,1200,
净利润(万元),13958,11418,9913,7827,5086,1256,3484,-3808,375,994,-2633,1076,-4255,91,-9344,-1323,1026,1163,1357,1277,1003,804,
净利润(扣除非经常性损益后)(万元),14171,12227,10456,6965,4548,934,-3588,-4059,-1705,-3379,-4501,-2924,-3688,-1376,-9351,-1618,692,1047,1367,0,0,0,
经营活动产生的现金流量净额(万元),23923,21854,19686,15667,10066,4924,-1166,28,2527,1567,-5474,1287,-86,2026,2568,-2284,1021,-614,2038,1437,0,0,
现金及现金等价物净增加额(万元),-1696,-1463,4950,-5447,8105,1714,6555,-1408,1618,80,63,-3344,2031,-542,-11302,-4503,9615,-8532,15325,-293,0,0,
总资产(万元),202480,180674,142946,116213,107557,49168,45705,22703,29501,29921,45817,62291,54035,58928,70966,54685,51362,46392,40340,24877,25296,19575,
流动资产(万元),46389,40709,45301,31014,41572,14737,14977,6661,12007,11354,19075,19976,21601,21193,24440,37905,36382,0,27112,0,0,11469,
总负债(万元),84667,72758,49539,37877,38415,19468,17599,12344,15309,16121,33099,44353,36964,36961,44843,26579,21286,17108,12190,15524,17408,12707,
流动负债(万元),70401,58516,36093,24678,26128,8593,8766,11632,15045,15898,32834,44230,36845,36132,44800,26562,21283,0,11970,0,0,10695,
股东权益不含少数股东权益(万元),102635,92121,83706,73767,65966,26646,25390,10367,14174,13799,12719,15510,14168,18459,18380,27694,29656,28686,28143,9344,7868,6867,
净资产收益率加权(%),14.52,13.03,12.59,11.2,10.98,4.83,19.49,-31.03,2.68,7.47,-18.76,7.19,-30.26,0.49,0,-4.6,3.49,4.1,7.16,15.01,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
