报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,
基本每股收益(元),0.35,0.3,0.43,0.22,0.32,0.3,0.39,0.39,0.34,0.28,0.24,0.17,0.21,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,2.41,2.29,1.66,1.49,1.45,0,0,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.4,0.38,0.38,0.24,0.35,0,0,0,0,0,
主营业务收入(万元),563855,517104,447156,445366,448810,413658,399958,396874,377537,326641,272938,236941,197099,95391,0,58685,46934,52990,
主营业务利润(万元),228208,207415,196757,156516,198765,182540,197886,184895,172880,166230,138836,125795,102444,-597,0,7344,18214,17774,
营业利润(万元),173006,147694,221511,87334,136944,125444,174528,172403,146772,120214,107875,79178,101244,-22616,0,-11170,2937,5635,
投资收益(万元),17763,22374,21228,19789,28193,19652,34297,33636,25730,9449,6599,6134,25422,1703,0,3505,1433,23,
营业外收支净额(万元),5097,5679,2598,23941,19676,17998,19964,14558,16624,13291,9628,--,5290,0,0,0,0,0,
利润总额(万元),178103,153373,224109,111275,156620,143441,194491,186962,163396,133505,117504,86714,106533,15101,0,11176,8605,12504,
净利润(万元),166510,142152,206692,106810,155156,145000,187720,188859,160903,129096,101414,73622,91160,8739,0,10029,7722,11545,
净利润(扣除非经常性损益后)(万元),153971,126601,191082,88391,132065,125542,177414,173080,154235,125427,97311,71001,73902,0,0,0,0,0,
经营活动产生的现金流量净额(万元),224192,236623,199722,212918,205240,217725,227312,198192,191128,180049,161799,102480,151876,46581,0,13889,19951,19366,
现金及现金等价物净增加额(万元),-115783,-266762,61628,-9240,142741,-65111,119799,110134,-140233,158507,72555,-49117,15674,31565,0,27689,12917,56658,
总资产(万元),2171285,1996588,2012098,2023712,1958763,2057092,1988207,1793656,1738982,1641159,1236153,1153176,1116187,1185999,1081233,784319,672844,288591,
流动资产(万元),447459,573386,847658,885221,872402,882119,586272,475332,379322,485832,349830,291620,313618,325164,309921,199586,193098,141780,
总负债(万元),654170,580148,589882,677294,598359,731546,684408,553894,579441,541704,520380,511976,491513,557534,513149,275308,224625,145010,
流动负债(万元),402595,322637,388624,310028,249606,390249,154681,169017,183140,117470,98878,92293,89974,137245,125523,113402,81251,34866,
股东权益不含少数股东权益(万元),1514707,1414205,1417632,1341322,1359478,1324644,1302816,1238938,1158779,1097898,714434,640420,623918,606787,550302,508155,447681,143537,
净资产收益率加权(%),11.39,10.16,15.09,8.03,11.65,10.94,14.77,15.97,14.44,13.33,15.12,11.65,14.68,0,0,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
