报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
基本每股收益(元),0.97,0.68,0.51,0.39,0.64,0.52,0.45,0.5,0.58,0.51,0.78,0.55,0.5,0.52,
每股净资产(元),--,--,--,--,--,3.87,3.48,3.22,2.88,2.54,4.31,1.38,1.29,2.31,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.43,0.41,0.33,0.36,0.46,0.59,0.52,0.21,1.17,
主营业务收入(万元),779553,635630,453764,346775,276872,166864,130327,101592,91985,77010,56520,39388,29898,17534,
主营业务利润(万元),553410,452899,298211,206498,150106,103962,88518,79150,74893,63639,46076,30929,22443,12256,
营业利润(万元),196125,144244,115571,86421,68404,51686,42097,46646,53742,46935,32748,20051,14950,7994,
投资收益(万元),19506,13104,-803,-221,881,159,-35,361,465,20,27,124,670,--,
营业外收支净额(万元),10200,3147,3976,2675,1690,1977,1099,1337,558,330,394,119,--,-43,
利润总额(万元),206326,147391,119547,89096,70094,53664,43196,47983,54300,47265,33142,20170,15031,7951,
净利润(万元),172531,121869,89909,67926,52089,42319,36165,40327,47316,41048,29221,20137,14973,6360,
净利润(扣除非经常性损益后)(万元),124078,104968,85300,66328,50906,40686,35279,39191,46839,40743,28867,19815,13943,6328,
经营活动产生的现金流量净额(万元),199026,150051,91313,69189,43646,34832,32976,26496,29120,37425,23979,18859,6137,5832,
现金及现金等价物净增加额(万元),-20542,-3450,17959,3357,132543,-21142,-40411,-741,-9792,-5484,110469,-2019,13030,3020,
总资产(万元),1592629,1511329,1279072,950045,772989,382993,312825,275019,244282,222675,185517,60924,45147,17791,
流动资产(万元),563438,570585,515871,414309,381502,171513,172605,186572,167191,157382,150498,34304,33577,12523,
总负债(万元),792134,852524,576347,348712,239128,53734,23382,13178,10130,16045,9921,9801,6759,6240,
流动负债(万元),511050,506924,321670,203541,200268,51721,21831,12020,9126,15020,9491,9371,6434,5240,
股东权益不含少数股东权益(万元),748278,636163,642967,553440,480690,314256,282757,261215,234153,206629,174901,50443,38388,11551,
净资产收益率加权(%),25.03,19.13,15.17,14.7,15.62,14.21,13.36,16.42,21.81,21.66,35,45.44,59.27,75.84,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
