报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),0.09,-0.37,0.15,0.08,-0.05,0.31,0.41,-0.03,0.79,0.24,0.4,0.69,1.42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,0,5.1,4.25,4.12,3.8,3.44,2.18,1.77,2.03,2.05,2.83,2.21,2.15,2.46,2.17,2.14,3.48,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,0,0.56,0.74,1.52,1.09,0.95,1.58,1.24,-0.23,-0.07,0.59,0.46,-0.32,0.93,0.46,--,--,--,--,--,
主营业务收入(万元),476118,490882,501676,392600,465834,524965,561566,612380,596951,559397,510307,601908,518478,404227,290858,320182,188706,121595,129171,66509,67385,58178,53265,53705,66963,40251,19516,
主营业务利润(万元),20524,-21767,18046,42722,18675,45613,27076,-12088,20897,43156,51950,68094,120377,59701,9882,24050,34087,24186,17601,8606,12253,112,3738,5032,6475,--,--,
营业利润(万元),11320,-45689,7058,24557,-20221,39677,22156,-16490,37712,9392,25026,43132,104031,39326,-11617,4357,20452,10811,4781,4509,7076,-1162,4630,5903,7183,--,--,
投资收益(万元),9284,13641,16048,6932,3890,20044,23093,23870,40137,20701,-203,1730,2891,249,1412,2905,2181,3446,676,1450,3891,1531,134,0,0,--,--,
营业外收支净额(万元),-819,-895,12251,-11262,11087,1039,5877,7194,529,-496,146,330,-495,-1935,-1985,-472,-196,-68,-374,505,-72,--,0,0,--,--,--,
利润总额(万元),10501,-46583,19309,13294,-9133,40715,28033,-9295,38241,8896,25172,43462,103536,37641,-12190,6791,22437,14188,5082,6464,12171,726,5371,5965,7081,--,--,
净利润(万元),10664,-44211,17573,9922,-6252,35645,26294,-1536,38128,11577,19316,33274,68370,27573,-12183,4046,13898,9685,4661,5013,9832,726,4565,5071,4732,2601,837,
净利润(扣除非经常性损益后)(万元),10591,-37325,8720,15864,-10569,31445,21151,-6932,37707,11904,19214,33027,68770,28053,-10326,4026,14353,7764,4744,4508,8557,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),72717,83883,14892,22995,-4343,164378,-3257,32517,27088,35747,72825,52116,45826,75676,59322,-11245,-3136,17690,12357,-8679,20822,10356,--,--,--,--,--,
现金及现金等价物净增加额(万元),4623,13223,-22184,-5404,22348,-21851,33262,-33695,29292,-40695,12763,28337,-44572,16514,16959,3931,7948,-7371,137,12193,3524,8340,--,--,--,--,--,
总资产(万元),701321,744413,746478,728094,862833,914689,719380,615116,492209,395629,391448,403747,343004,306445,281417,295937,279635,209880,172594,158300,97403,102021,63309,68004,46977,--,--,
流动资产(万元),123741,148097,139737,131128,277910,119913,172067,101227,116792,90402,118493,125860,95392,126464,105258,127666,98351,--,68456,59566,0,60298,34962,38629,16133,--,--,
总负债(万元),269922,321897,275468,275490,386431,441904,286737,370312,247134,191417,193619,221389,177992,201750,196120,198353,181301,124928,113015,100305,42062,53213,15227,24537,29710,--,--,
流动负债(万元),215732,267422,257232,144350,222424,243160,185458,212455,115147,130281,90858,108679,125103,156302,151310,109405,102964,--,47105,63678,0,47407,14727,23817,18930,--,--,
股东权益不含少数股东权益(万元),431399,422516,471010,452604,476402,472785,432643,244805,245075,204146,197762,182285,164938,104629,85204,97485,98233,84851,59478,57995,55341,48808,48082,43466,17267,17362,14761,
净资产收益率加权(%),2.5,-9.92,3.81,2.14,-1.32,7.9,7.05,-0.63,17.08,5.8,10.18,19.47,50.76,28.05,-13.36,4.17,15.29,15.06,8.16,9.28,0,1.5,--,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
