报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
基本每股收益(元),3.85,3.34,2.37,1.61,0.98,1.47,
每股净资产(元),--,--,6.05,4.13,18.21,26.64,
每股经营活动产生的现金流量净额(元),--,--,3.02,2.78,5.78,4.98,
主营业务收入(万元),1655599,1375336,1117380,903172,801311,783572,
主营业务利润(万元),1058877,896372,734193,570565,490632,489428,
营业利润(万元),537879,427816,287959,154894,96140,120753,
投资收益(万元),--,-11265,924,11384,23784,22834,
营业外收支净额(万元),-1054,-3983,5178,30261,12811,24854,
利润总额(万元),536825,423833,293137,185156,108950,145607,
净利润(万元),468065,371924,258915,160046,90988,135967,
净利润(扣除非经常性损益后)(万元),461498,369067,258005,178142,133958,133002,
经营活动产生的现金流量净额(万元),472179,403459,330037,303953,202390,174148,
现金及现金等价物净增加额(万元),272591,641823,70505,243967,19237,-66577,
总资产(万元),2563415,2162739,1443844,1297404,1236304,1458137,
流动资产(万元),1872409,1519249,859079,731056,700210,928806,
总负债(万元),701710,644907,778431,837329,582503,491955,
流动负债(万元),504282,459206,623617,557565,504320,326882,
股东权益不含少数股东权益(万元),1859311,1515832,661993,451981,637338,932374,
净资产收益率加权(%),27.91,42.16,47,28,10,15,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
