报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,
基本每股收益(元),0.09,-0.49,0.34,0.59,0.51,0.16,0.3,0.22,0.15,0.19,0.39,0.65,0.35,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,1.96,1.93,2.81,2.7,4.33,2.04,2.03,1.89,1.39,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.29,0,1.07,0.12,-0.81,0.08,1.16,0.73,0.54,
主营业务收入(万元),600688,451895,306106,237046,214129,260335,207840,204204,173645,110644,96902,105143,55838,35641,48515,26935,20227,
主营业务利润(万元),80981,51708,73784,75139,42808,32421,28364,24503,26443,15665,16474,14123,9803,6974,7367,4971,3882,
营业利润(万元),22818,-49039,25594,37606,10820,-5417,-671,-4164,4153,204,5453,-527,1722,2292,2667,1889,1428,
投资收益(万元),21273,-6979,-911,1487,5183,-56,-40,46,-47,-29,3461,-18,124,-133,-45,-408,-402,
营业外收支净额(万元),-10164,-5812,2113,774,1759,9743,8475,9694,580,3931,497,11694,--,-239,0,0,0,
利润总额(万元),12655,-54851,27707,38381,12579,4326,7804,5530,4733,4135,5950,11167,2854,1921,2783,2928,1473,
净利润(万元),10040,-57196,26214,37289,11026,3247,6063,4518,3002,3906,5308,8924,2224,2041,2466,2403,616,
净利润(扣除非经常性损益后)(万元),310,-66059,23485,33739,4533,147,5105,3898,2213,-172,851,-1168,1218,2194,2343,1361,263,
经营活动产生的现金流量净额(万元),53194,18996,33480,51302,22055,8523,18303,10494,5953,39,14645,1692,-5572,377,5803,3627,2675,
现金及现金等价物净增加额(万元),30260,1413,25655,-15300,10618,-1830,2983,723,3927,-1220,-1005,1423,7376,1551,-687,1554,940,
总资产(万元),753438,622877,444316,249009,196730,188456,171517,116785,107215,90773,77072,81119,62396,31748,28533,31389,18549,
流动资产(万元),219486,233301,168518,98345,87460,84424,103321,57627,51617,38009,30483,36584,35964,15038,12291,15634,9625,
总负债(万元),463615,383185,139535,106567,84183,126450,115418,65094,58789,45457,32996,38640,28959,21483,17391,21209,11587,
流动负债(万元),403564,346802,137737,105557,82860,126239,115182,64848,58226,39941,24105,36931,28959,16083,14291,21209,11587,
股东权益不含少数股东权益(万元),288187,238052,302986,140438,108937,55443,46795,42698,40214,39647,38542,37050,29665,10200,10158,9443,6948,
净资产收益率加权(%),4.13,-21.14,10.15,30.04,17.19,6.14,13.67,10.99,7.55,10.11,14.4,26.79,9.16,21.09,27.18,29.38,9.11,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
