报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),-0.08,0,0.26,-0.16,-0.13,-0.52,0.21,
每股净资产(元),1.55,2.93,1.16,0.88,1.04,1.73,0.99,
每股经营活动产生的现金流量净额(元),0.05,0.07,--,--,--,-1.11,-0.11,
主营业务收入(万元),22956,12672,9312,2558,2398,3877,4176,
主营业务利润(万元),19221,9439,6470,1100,1059,794,2159,
营业利润(万元),-3947,-809,3810,-3339,-2299,-2058,-523,
投资收益(万元),687,536,305,359,95,--,9,
营业外收支净额(万元),-338,10,316,827,900,642,1338,
利润总额(万元),-4284,-799,4126,-2512,-1399,-1416,815,
净利润(万元),-3096,-86,4146,-2512,-1399,-1576,631,
净利润(扣除非经常性损益后)(万元),-3373,-3910,277,-3520,-2299,-2218,-618,
经营活动产生的现金流量净额(万元),2053,1315,898,-3322,4182,-3384,-338,
现金及现金等价物净增加额(万元),-12903,-19571,44005,-3541,5617,1039,-767,
总资产(万元),71360,66266,65596,19476,21196,6709,4136,
流动资产(万元),52764,54772,60797,17140,19852,5882,2891,
总负债(万元),11726,10205,46203,5607,4706,1425,1176,
流动负债(万元),9631,9412,45079,2085,798,1067,534,
股东权益不含少数股东权益(万元),58535,55080,18301,13869,16490,5284,2960,
净资产收益率加权(%),-5.39,-0.26,25.54,-16.49,-8.02,-62.08,24.23,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
