报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.8,0.85,0.94,0.98,0.73,0.61,0.62,1.08,1.04,1.24,0.84,0.5,0.29,
每股净资产(元),--,--,--,--,--,--,--,--,10.77,3.86,2.62,1.78,1.27,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-1,0.6,2.01,0.83,0.62,
主营业务收入(万元),621971,691388,653195,495951,419222,397772,369248,304495,262977,229307,173366,154178,131446,
主营业务利润(万元),201637,196908,176612,161095,127145,115531,102254,83218,71833,63627,50028,28876,20763,
营业利润(万元),70847,59519,49314,49530,36381,30022,29083,25346,23997,23545,15701,6120,2595,
投资收益(万元),3421,2208,3005,2498,2324,2199,1830,-14,7,0,-3,-92,0,
营业外收支净额(万元),1981,12,611,2383,1505,1214,799,832,1794,516,389,-75,91,
利润总额(万元),72828,59531,49925,51913,37886,31236,29882,26178,25791,24061,16090,6045,2686,
净利润(万元),59808,48892,41340,43117,31910,26689,24772,21674,20429,18587,12579,5010,2480,
净利润(扣除非经常性损益后)(万元),47346,43582,36371,40683,30854,25668,24123,20986,18939,18171,12243,4813,2266,
经营活动产生的现金流量净额(万元),81487,10217,87315,88399,67866,20725,31870,15953,-19958,9068,30218,12457,6163,
现金及现金等价物净增加额(万元),-210,18194,-57682,54306,4448,-23446,-6919,-18641,93186,-4380,-1362,-396,8942,
总资产(万元),696324,679921,651004,509043,425596,375620,355776,312639,275902,130292,109657,98552,92321,
流动资产(万元),368996,387031,361425,347090,282692,238911,240510,219196,210737,85053,68611,64059,71458,
总负债(万元),305311,335240,333444,216733,143485,117573,102264,77895,57228,69940,69056,71224,78821,
流动负债(万元),296932,327352,326010,208413,135334,110232,97510,76850,57228,69940,69056,71224,78821,
股东权益不含少数股东权益(万元),373223,328485,301574,292345,282052,258048,249748,231023,215349,57852,39322,26745,13270,
净资产收益率加权(%),17.18,15.43,13.03,14.2,11.65,10.2,10.18,9.73,10.46,38.23,38.08,32.93,24.69,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
