报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
基本每股收益(元),0.24,0.21,0.25,0.34,0.34,0.55,0.61,0.92,0.64,0.71,0.84,0.7,3.73,1.74,
每股净资产(元),--,--,--,--,--,2.94,3.05,5.39,5.07,7.05,10.46,1.54,6.26,3.1,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.44,0.51,0.93,0.37,0.11,0.48,0.23,1.94,1.64,
主营业务收入(万元),141903,150068,156992,149715,139579,148108,132322,110200,81997,60341,45889,38739,25805,16645,
主营业务利润(万元),115657,122278,126124,119926,113055,123590,110591,91124,66285,49193,37744,31503,21049,13770,
营业利润(万元),30184,27493,33261,32510,32791,40990,35401,26659,18248,12924,6572,5982,3981,1787,
投资收益(万元),1397,1394,427,-1237,355,--,--,--,189,--,1,1,0,--,
营业外收支净额(万元),-63,-23,-517,813,690,493,2313,1958,1573,1806,1452,862,--,442,
利润总额(万元),30121,27471,32744,33323,33482,41484,37714,28617,19821,14730,8024,6844,5013,2230,
净利润(万元),25099,22681,27230,28261,28165,34935,31882,24219,16756,12370,6867,5765,4481,2087,
净利润(扣除非经常性损益后)(万元),24472,23885,26042,28895,26651,34516,29916,22555,15419,10835,5632,5029,2617,1205,
经营活动产生的现金流量净额(万元),33409,26236,24576,31488,32708,28238,27023,24332,9831,1979,5274,1870,2327,1970,
现金及现金等价物净增加额(万元),-49051,-3495,-9420,-22667,8263,262,-2767,4471,-3594,-18114,98415,1859,557,198,
总资产(万元),284250,274739,267972,252792,242667,211737,177081,156108,145240,137040,134539,22988,16161,10903,
流动资产(万元),226368,215960,210154,192295,191784,171948,141248,130650,119913,115280,119469,18966,12777,7661,
总负债(万元),27301,26226,31426,32761,42116,23272,16472,14229,11797,13339,19920,10295,8464,7180,
流动负债(万元),24002,23515,27947,28657,37576,21102,14220,11875,10336,11857,18620,10295,8464,7180,
股东权益不含少数股东权益(万元),256949,248513,236547,220031,200551,188465,160609,141880,133443,123701,114619,12692,7508,3724,
净资产收益率加权(%),9.76,9.39,11.79,13.48,14.25,20.61,21.39,17.94,13.15,10.43,48.06,57.47,81.48,72.49,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
