报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),0.19,0.63,1.14,0.77,0.46,0.32,0.32,0.3,0.25,0.32,0.35,0.32,0.31,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,3.12,--,--,2.46,2.3,2.17,2,2.08,2.47,2.15,1.8,2.16,1.7,1.54,1.07,1,1.87,1.85,2.81,2.17,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.5,--,--,0.8,0.87,0.97,0.99,0.63,1.01,0.63,1.1,0.81,0.96,0.28,0.12,-0.08,-0.25,--,--,--,
主营业务收入(万元),1361074,2049377,2081126,2078185,1238729,452640,253447,210986,200882,228331,170199,166468,168524,139609,116563,80660,59092,51473,19937,18056,13383,19043,26401,25247,29953,
主营业务利润(万元),341672,482247,343778,309566,205626,67541,47362,42762,35953,42963,36434,40303,40932,35051,32884,27304,21747,17709,5628,3291,1671,3345,744,4,3179,
营业利润(万元),143868,221544,291748,169365,83060,18859,8875,3234,8156,14950,11305,9585,18084,11421,8955,12943,9996,7418,4081,-609,-4079,-7348,4619,6411,3487,
投资收益(万元),-10029,-4538,129261,437,160,2940,1285,1067,9727,1277,720,1813,4102,577,175,2460,1494,-272,-373,1646,-838,244,391,239,1531,
营业外收支净额(万元),-2576,6069,-4838,1319,1722,9434,17114,17925,11846,7591,9734,8530,--,6157,7564,267,475,-1128,-47,40,-1060,0,0,0,--,
利润总额(万元),141293,227613,286910,170684,84782,28293,25989,21159,20003,22542,21038,18116,20978,20475,19170,17393,13180,6289,3785,1172,-5945,813,5904,7851,5238,
净利润(万元),57042,141793,194684,101109,51027,16442,16133,15116,12702,16202,16075,15003,14387,15062,14296,12912,10030,4765,3019,552,-6104,510,4649,6075,4105,
净利润(扣除非经常性损益后)(万元),47126,127636,190264,100740,69108,11472,6222,5132,3950,12093,10849,10177,9688,6670,5759,10671,8359,5622,-590,437,-6104,--,--,--,--,
经营活动产生的现金流量净额(万元),-478908,-873430,167871,915086,91785,25509,50403,48555,40917,44240,45091,45881,29310,35906,22446,39188,19303,22773,6767,2941,-1875,-6006,--,--,--,
现金及现金等价物净增加额(万元),-147987,276929,34424,267505,163889,5699,7634,-1492,1468,6516,1493,6092,2938,1394,-2575,157,4389,-2345,3186,1643,-7109,-1605,--,--,--,
总资产(万元),8583243,7442572,5415449,4851647,4992482,555615,394127,386156,387428,342551,311729,258312,287350,247985,219186,206298,155592,129628,124163,134128,143129,172469,150045,138229,61532,
流动资产(万元),8360193,7289127,5268911,4711415,4831884,189214,72708,62683,67656,59931,53647,48966,77534,54121,48941,48225,33336,--,--,--,0,156193,126168,114327,39243,
总负债(万元),7063853,6130832,4327760,3908722,4151360,361363,219618,226744,238406,199950,180775,154645,169150,141555,125557,127951,98452,84247,83465,106044,117859,126926,104801,95060,39814,
流动负债(万元),4511858,3952681,3096396,2840941,3109399,359772,216067,206015,200686,190189,171161,147858,164640,140821,121047,122265,95563,--,--,--,0,126876,102270,89995,38097,
股东权益不含少数股东权益(万元),1433613,1268797,1039050,882218,794275,159450,147155,136190,125775,117592,100866,92957,96640,87983,76599,64158,51287,40531,36601,25514,23825,44523,44013,41824,21009,
净资产收益率加权(%),3.82,12.85,20.11,12.06,8.8,10.76,11.39,11.56,10.46,14.87,16.29,14.12,16.05,17.9,20.05,22.36,22.02,0,11.18,2.18,0,1.15,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
