报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
基本每股收益(元),0.65,0.42,0.43,0.84,0.54,--,--,
每股净资产(元),3.19,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),0.58,0.35,-0.18,-0.08,1.25,0.7,1.96,
主营业务收入(万元),548357,525128,409526,259449,193562,232234,205835,
主营业务利润(万元),47908,41609,37539,30988,19801,22482,15143,
营业利润(万元),21283,14680,14922,14820,7758,7024,2376,
投资收益(万元),5,14,-135,-731,443,175,181,
营业外收支净额(万元),976,-56,336,35,-115,269,-46,
利润总额(万元),22259,14624,15258,14854,7643,7293,2330,
净利润(万元),19129,12400,12797,12549,6483,6309,2309,
净利润(扣除非经常性损益后)(万元),16281,12274,12222,12738,5933,5675,1891,
经营活动产生的现金流量净额(万元),17113,10295,-2871,-1305,15010,4182,11779,
现金及现金等价物净增加额(万元),7705,11513,1067,997,6705,514,-500,
总资产(万元),174084,154391,134826,118699,90225,106816,109728,
流动资产(万元),128296,112988,92878,81308,53626,78019,79285,
总负债(万元),80087,79523,72072,68819,58319,80120,89349,
流动负债(万元),78871,78741,71320,67974,58233,80120,89336,
股东权益不含少数股东权益(万元),93997,74868,62491,49694,31745,26244,19936,
净资产收益率加权(%),22.66,18.05,22.81,29.14,22.23,27.32,12.3,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
