报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
基本每股收益(元),-2.06,-0.67,0.03,-0.16,0.01,0.02,0.05,0.04,0.28,0.52,0.5,0.49,0.69,2.93,0.25,
每股净资产(元),--,--,--,--,--,--,--,6.21,6.34,6.37,2.65,2.15,1.65,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.03,0.09,0.81,0.2,0.37,--,--,
主营业务收入(万元),21766,24057,27224,20521,23014,20670,25255,25011,37563,34793,26344,23255,25131,15279,5827,
主营业务利润(万元),-1313,2808,7949,5558,6938,7589,7650,7641,13963,13366,11308,10797,12707,7533,1201,
营业利润(万元),-48087,-19059,746,-5271,-2216,-176,-410,140,7397,7011,6754,6572,8913,6014,416,
投资收益(万元),-144,169,225,-75,-51,-129,18,--,--,0,0,0,0,--,--,
营业外收支净额(万元),-385,-1649,-23,497,2253,411,1302,718,-1825,229,54,194,163,26,1,
利润总额(万元),-48471,-20708,723,-4774,37,236,891,858,5572,7239,6808,6766,9076,6040,418,
净利润(万元),-53549,-17510,701,-3818,281,323,876,707,4499,6204,6014,5909,8175,6055,418,
净利润(扣除非经常性损益后)(万元),-53629,-19092,-1814,-4240,-1621,-22,-167,149,6351,6009,5968,5741,7842,6029,416,
经营活动产生的现金流量净额(万元),-11963,-15046,-3918,-12384,-2924,-5823,-933,-5658,-504,1452,9768,2418,4398,3403,1364,
现金及现金等价物净增加额(万元),-9189,-10119,-20343,38224,466,-8291,-13965,-17981,-33856,68477,5364,-2145,-3019,7189,243,
总资产(万元),146653,192153,189887,189797,122068,113495,113031,108366,116179,138084,56548,45497,34183,19778,6661,
流动资产(万元),68603,81912,87464,103440,56251,53457,56955,65228,86079,109435,31251,21621,18675,16428,4003,
总负债(万元),64338,52835,33124,33759,22174,13951,13278,9073,14688,36092,24781,19745,14339,11649,4526,
流动负债(万元),62716,45387,25382,22571,21883,11611,10896,6649,12260,35672,18361,15325,8339,11649,4526,
股东权益不含少数股东权益(万元),82315,139318,156764,156038,99895,99544,99753,99293,101492,101992,31767,25753,19844,8129,2135,
净资产收益率加权(%),-47.58,-11.83,0.45,-2.87,0.28,0.32,0.88,0.7,4.46,18.76,20.91,25.92,55.29,117.3,22.38,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
